Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2026,Winter,2026-wi,ADV,150,Introduction to Advertising,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media, research, consumer behavior, sales promotion and interactive advertising. Topics also include how advertising relates to society in cultural, social, ethical and regulatory contexts. Open to all undergraduate majors.",3 hours.,,Social & Beh Sci - Soc Sci course.,,10104,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Hall, S"
2026,Winter,2026-wi,AFAS,120,Intro to US Armed Forces,Same as MILS 120 and NS 120. See MILS 120.,3 hours.,Same as MILS 120 and NS 120. See MILS 120.,Humanities - Hist & Phil course.,,10096,ONL,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Ashworth, E"
2026,Winter,2026-wi,ANTH,103,Anthro in a Changing World,"[IAI Code: S1901N] Presents the fundamental areas of anthropological analysis through a series of comparative cases that emphasize social and cultural relations in global contexts. Directs attention to the anthropological history of global empires and colonial states, their cultural exchanges, and contemporary studies of culture, society, and globalization.",3 hours.,,"Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course.",,10141,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Patino, M"
2026,Winter,2026-wi,ANTH,180,The Archaeology of Death,"Cross-cultural introduction to the celebration of death across time and space. Examines the anthropological and archaeological literature on death, particularly in terms of death ritual and burial practices. Students study popular films on death in different cultures.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - Western course.",,10152,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Shaw, G"
2026,Winter,2026-wi,ANTH,246,Forensic Science,"History and theory underlying methods used in forensic science. Topics include the courtroom, the units of a crime laboratory, methods of securing and investigating a crime scene, and the analysis of evidence collected from a crime scene such as blood, fibers, hair, DNA, and fingerprints.",4 hours.,,Nat Sci & Tech - Life Sciences course.,,10143,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Reich, A"
2026,Winter,2026-wi,ASTR,100,Introduction to Astronomy,"[IAI Code: P1906] Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Students with credit in PHYS 211 are encouraged to take ASTR 210. Credit is not given toward graduation for: Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned.",3 hours.,"Students with credit in PHYS 211 are encouraged to take ASTR 210. Credit is not given toward graduation for: Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned.",Nat Sci & Tech - Phys Sciences course.,"Students interested in ASTR 100 should also consider ASTR 121 or ASTR 122 which covers the same materials and topics but in two semesters instead of one. ASTR 121 and ASTR 122 include two lectures each week and one weekly small discussion meeting for more individual attention. ASTR 121 and ASTR 122 are independent offerings and can be taken in any order. While ASTR 100, ASTR 121 and ASTR 122 are for non-science majors, problem solving with basic algebra is required. Science and astronomy majors should take ASTR 210.",10005,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Dunne, B"
2026,Winter,2026-wi,ASTR,330,Extraterrestrial Life,"Scientific discussion of the search for extraterrestrial life. Topics include: cosmic evolution (protons to heavy elements to molecules); terrestrial evolution (chemical, biological, and cultural); high technology searches for extraterrestrial life in the solar system (Mars, Venus, outer planets); and beyond the solar system (Drake equation and current SETI projects).",3 hours.,,,,10064,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Looney, L"
2026,Winter,2026-wi,ATMS,120,Severe and Hazardous Weather,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",3 hours.,Same as ESE 120.,"Nat Sci & Tech - Phys Sciences, and Quantitative Reasoning II course.",,10002,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Choate, J"
2026,Winter,2026-wi,BADM,275,Introduction to Operations and Supply Chain Management,"Operations and Supply Chain Management is about sourcing, producing, and delivering goods and services that meet and exceed customer expectations. In this course, students will be introduced to decision-making frameworks and techniques for effectively and efficiently managing processes through coordinated efforts across different organizations in a supply chain and across multiple areas within an organization, such as: consumer analytics, research and development, finance, engineering, marketing, human resource management, sourcing, information systems, logistics, and accounting.",3 hours.,,,,10121,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Sumkin, D"
2026,Winter,2026-wi,BADM,300,The Legal Environment of Bus,"Introduction to law and the legal system, litigation, contracts, business organizations, intellectual property, employment law and governmental regulation of business.",3 hours.,,,,10013,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Noonan, J"
2026,Winter,2026-wi,BADM,310,Mgmt and Organizational Beh,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",3 hours.,,,,10014,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Ji, M"
2026,Winter,2026-wi,BADM,320,Principles of Marketing,"Emphasizes the concepts of planning, organization, control, and decision making as they are applied in the management of the marketing function. Provides an overview of aspects of the marketing discipline.",3 hours.,,,,10056,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Liu, Y"
2026,Winter,2026-wi,BADM,380,International Business,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",3 hours.,,,,10017,OL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Bucheli, M"
2026,Winter,2026-wi,CLCV,102,Medical Terms-GRK &amp; LAT Roots,Introduction to the study of Greek and Latin medical terms in various medical fields and to the linguistic patterns governing the combination of various roots through practical application of usage.,3 hours.,,,This course is offered exclusively online with weekly assignments.,10071,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Fenton, V"
2026,Winter,2026-wi,CLCV,115,Mythology of Greece and Rome,"Studies the major myths of Greece and Rome and their impact upon later art, music, and literature. Shares two hours of lecture with CLCV 111; additional hour of lecture-discussion for a closer analysis of topics. Credit is not given for both CLCV 115 and CLCV 111.",3 hours.,Credit is not given for both CLCV 115 and CLCV 111.,"Humanities - Lit & Arts, and Cultural Studies - Western course.","In the Fall and Spring semesters, students must register for one discussion and one lecture section.",10083,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Moulita, M"
2026,Winter,2026-wi,CMN,210,Public Communication in Everyday Life,"Introduces concepts useful for the critical analysis of public communication in everyday life. Drawing on communication theory and practice, especially theories of rhetoric, the course investigates techniques of persuasion, offers tools for critical analysis of public discourse, and considers the political and ethical implications of various forms of public communication.",3 hours.,,"Humanities - Hist & Phil, and Cultural Studies - Western course.",,10085,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Murphy, M"
2026,Winter,2026-wi,DANC,100,Intro to Contemporary Dance,"[IAI Code: F1906] Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,For non-dance majors.,"Humanities - Lit & Arts, and Cultural Studies - Western course.",,10027,OL1,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Wahrendorf, C"
2026,Winter,2026-wi,ECON,102,Microeconomic Principles,"[IAI Code: S3902] Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given toward graduation for: ECON 102 and ACE 100.",3 hours.,Credit is not given toward graduation for: ECON 102 and ACE 100.,Social & Beh Sci - Soc Sci course.,,10019,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Ambardar, S;DiIanni, I"
2026,Winter,2026-wi,ECON,103,Macroeconomic Principles,"[IAI Code: S3901] Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",3 hours.,,Social & Beh Sci - Soc Sci course.,You may take ECON 103 before ECON 102. There is no prerequisite.,10020,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Simon, P;Vazquez, J"
2026,Winter,2026-wi,ECON,202,Economic Statistics I,"Introduction of basic concepts in statistics including the presentation of data, descriptive statistics, probability theory, discrete and continuous distributions, sampling distributions, estimation, and hypothesis testing. The approach of the class includes both learning the concepts behind basic statistics and also how to apply these concepts in ""real-life"" situations. Utilizes a practical project format. To complete the Business Statistics sequence, students must also complete ECON 203. Credit is not given for ECON 202 if credit for a college-level introductory statistics course such as PSYC 235, SOC 280, or STAT 100 has been earned. Prerequisite: Credit or registration in one of MATH 220, MATH 221, MATH 234.",3 hours.,"Credit is not given for ECON 202 if credit for a college-level introductory statistics course such as PSYC 235, SOC 280, or STAT 100 has been earned. Prerequisite: Credit or registration in one of MATH 220, MATH 221, MATH 234.",Quantitative Reasoning I course.,Instructions will be given during the first lecture as to where you should meet for your TA section. Evening examinations may be offered in this course. Students must register for one lab and one lecture section.,10051,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Schultz, C;Whamond, C"
2026,Winter,2026-wi,ENGL,360,Environmental Writing,Same as ESE 360. See ESE 360.,3 hours.,Same as ESE 360. See ESE 360.,Advanced Composition course.,,10077,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Tomkin, J"
2026,Winter,2026-wi,ESE,111,Emergence of Life,Same as GEOL 111. See GEOL 111.,3 hours.,Same as GEOL 111. See GEOL 111.,Nat Sci & Tech - Life Sciences course.,,10075,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Christie, M"
2026,Winter,2026-wi,ESE,117,The Oceans,Same as GEOL 117. See GEOL 117.,3 hours.,Same as GEOL 117. See GEOL 117.,Nat Sci & Tech - Phys Sciences course.,,10050,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Pettijohn, C"
2026,Winter,2026-wi,ESE,118,Natural Disasters,Same as GEOL 118 and GLBL 118. See GEOL 118.,3 hours.,Same as GEOL 118 and GLBL 118. See GEOL 118.,Nat Sci & Tech - Phys Sciences course.,,10008,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Austin, S"
2026,Winter,2026-wi,ESE,120,Severe and Hazardous Weather,Same as ATMS 120. See ATMS 120.,3 hours.,Same as ATMS 120. See ATMS 120.,"Nat Sci & Tech - Phys Sciences, and Quantitative Reasoning II course.",,10038,ONL,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Choate, J"
2026,Winter,2026-wi,ESE,360,Environmental Writing,"Equips students to write about the environment for various audiences, with a focus on specific current efforts to promote sustainability on the Urbana-Champaign campus. We will practice effective techniques for each stage of the writing process-from defining topics, to gathering information, to crafting active, engaging prose. Readings will include models of effective environmental writing and ""how to"" pieces by experts. Research will include visits to campus sites and student-conducted interviews with subjects. Same as ENGL 360. Prerequisite: Completion of campus Composition I general education requirement.",3 hours.,Same as ENGL 360. Prerequisite: Completion of campus Composition I general education requirement.,Advanced Composition course.,,10076,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Tomkin, J"
2026,Winter,2026-wi,GEOL,111,Emergence of Life,"Examines important theoretical and practical questions regarding the origin and evolution of life, as well as the search for life elsewhere in the universe. Uses the pioneering work of Carl Woese, whose ""Tree of Life"" revolutionized our understanding of the fundamental structure and evolutionary relatedness of all living entities on Earth. Same as ESE 111. Additional fees may apply. See Class Schedule.",3 hours.,Same as ESE 111. Additional fees may apply. See Class Schedule.,Nat Sci & Tech - Life Sciences course.,,10074,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Christie, M"
2026,Winter,2026-wi,GEOL,117,The Oceans,"Integrated introduction to oceanography and marine geology and geophysics. Topics include ocean-basin formation and evolution (in the context of plate tectonics), ocean ecology, the hydrologic cycle, water chemistry, currents and waves, the interaction of oceans with climate, coastal hazards, resources, pollution, and the Law of the Sea. Course is oriented toward students not majoring in science. Same as ESE 117.",3 hours.,Same as ESE 117.,Nat Sci & Tech - Phys Sciences course.,,10049,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Pettijohn, C"
2026,Winter,2026-wi,GEOL,118,Natural Disasters,"Introduces the nature, causes, risks, effects, and prediction of natural disasters including earthquakes, volcanoes, landslides, subsidence, global climate change, severe weather, coastal erosion, floods, mass extinctions, and meteorite  impacts; covers scientific principles and case histories of natural disasters as well as human responses (societal impact, mitigation strategies, and public policy). Same as ESE 118 and GLBL 118.",3 hours.,Same as ESE 118 and GLBL 118.,Nat Sci & Tech - Phys Sciences course.,,10007,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Austin, S"
2026,Winter,2026-wi,GLBL,100,Intro to Global Studies,"Foundation course for understanding a range of contemporary issues and learning to analyze them from multiple disciplinary perspectives. Students consider globalizing trends within themes of wealth and poverty; population, cultures, and human rights; environment and sustainability; and governance, conflict, and cooperation. Course objectives are to enhance knowledge of human cultures, their interactions and impacts on the world; develop skills for successfully negotiating realities of contemporary societies; and promote values for global learning, diversity, and sustainable futures.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - Western course.",,10054,CF,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Schrag, D"
2026,Winter,2026-wi,GLBL,118,Natural Disasters,Same as ESE 118 and GEOL 118. See GEOL 118.,3 hours.,Same as ESE 118 and GEOL 118. See GEOL 118.,Nat Sci & Tech - Phys Sciences course.,,10009,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Austin, S"
2026,Winter,2026-wi,GLBL,200,Foundations of Research,"Introduction to the foundations of interdisciplinary social science research. Topic include understanding the purpose for research, identifying researchable issues, finding evaluating and using sources effectively, recognizing methods associated with different types of data and disciplines, and writing a literature review. Prepares students for course-based research papers and advanced research methods courses. Guest faculty present their Global Studies-relevant research as students (b)log their own research interests.",3 hours.,,"Quantitative Reasoning II, and Social & Beh Sci - Soc Sci course.",,10117,AL1,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Bonatti, V"
2026,Winter,2026-wi,GWS,356,Sex &amp; Gender in Popular Media,Same as MACS 356. See MACS 356.,3 hours.,Same as MACS 356. See MACS 356.,Cultural Studies - Western course.,,10012,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Aguayo, A"
2026,Winter,2026-wi,HIST,100,Global History,"Broad introduction to global history, by exploring the global structures and transnational forces that have shaped human history, from the emergence of agriculture and urban centers to our contemporary global village.",3 hours.,,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",,10144,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Mandala, R"
2026,Winter,2026-wi,HIST,104,Black Music,"What is black music, and how do we know what we think we know about it? Together, we will examine musical creations pioneered by Africans and individuals of African descent over several centuries and across hemispheres. Doing so will allow us to consider the unity of the African Diaspora and its music, and also examine internal differences and diversity. Special focus is given to Latin America and the U.S., but, depending on the semester, we will also read about, listen to, and talk about music and musicians in Asia, Africa, and Europe.",3 hours.,,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,10145,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Hertzman, M"
2026,Winter,2026-wi,HIST,104,Black Music,"What is black music, and how do we know what we think we know about it? Together, we will examine musical creations pioneered by Africans and individuals of African descent over several centuries and across hemispheres. Doing so will allow us to consider the unity of the African Diaspora and its music, and also examine internal differences and diversity. Special focus is given to Latin America and the U.S., but, depending on the semester, we will also read about, listen to, and talk about music and musicians in Asia, Africa, and Europe.",3 hours.,,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,10154,B,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"MacDonald, O"
2026,Winter,2026-wi,HK,271,Health Equity in the United States,"Introduces students to the field of health equity in the United States, including the existence and magnitude of health disparities related to historically underrepresented groups of diverse racial/ethnic backgrounds, immigrant and rural populations, gender, age, veteran status, and ability level. The course will examine relevant issues, frameworks, theories, and solutions.",3 hours.,,Cultural Studies - US Minority course.,,10139,ONL,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Frasca, B"
2026,Winter,2026-wi,HK,302,Disability in American Society,"Acquaints students with the medical, psychosocial, vocational, political, and cultural aspects of disability in America. Development and implementation of disability policy by governmental agencies in this country will be examined, and the role of activism and advocacy in securing civil rights for persons with a disability will be explored. Various philosophical and theoretical models for understanding the disability experience will be offered, and course content will include the key historical events that shaped the present conditions of persons with disabilities. Lastly, students will be introduced to an array of service modalities used to address health and adjustment needs of persons with disabilities.",3 hours.,,Social & Beh Sci - Soc Sci course.,,10138,ONL,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Rice, L"
2026,Winter,2026-wi,IS,199,Undergraduate Open Seminar,Undergraduate Open Seminar. Additional fees may apply. See Class Schedule. May be repeated.,1 TO 5 hours.,Additional fees may apply. See Class Schedule. May be repeated.,,,10101,ICL,A,1,Intro to Command Line Tools,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Wickes, E"
2026,Winter,2026-wi,IS,229,Web Design Fundamentals,"In this course students will learn the principles and methodologies of modern Web design and development, while also becoming familiar with the history of the Web. Students will develop useful practical skills through hands-on engagement with open-source tools, platforms, and resources, while also acquiring a critical understanding of current challenges around such topics as web-standards, security, and accessibility. Students will also become familiar with philosophical models and practical frameworks for creating human-centered systems and will apply such constructively critical understandings in their own web design projects.",3 hours.,,Quantitative Reasoning I course.,,10132,OAU,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"MacMullen, T"
2026,Winter,2026-wi,IS,390,Special Topics in Information Studies,"Directed and supervised investigation of selected topics in information studies that may include among others computers and culture; information policy; community information systems; production, retrieval and evaluation of scientific or social science knowledge; computer-mediated communication; and computer-supported cooperative work. May be repeated. Prerequisite: Sophomore standing.",1 TO 3 hours.,May be repeated. Prerequisite: Sophomore standing.,,,10113,IIP,A,1,Intro to Intellectual Property,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Benson, S"
2026,Winter,2026-wi,IS,445,Data Visualization,"Data visualization is crucial to conveying information drawn from models, observations or investigations. This course will provide an overview of historical and modern techniques for visualizing data, drawing on quantitative, statistical, and network-focused datasets. Topics will include construction of communicative visualizations, the modern software ecosystem of visualization, and techniques for aggregation and interpretation of data through visualization. Particular attention will be paid to the Python ecosystem and multi-dimensional quantitative datasets. 3 undergraduate hours. 4 graduate hours.",3 OR 4 hours.,3 undergraduate hours. 4 graduate hours.,,,10120,OAU,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Besser, S"
2026,Winter,2026-wi,JOUR,200,Introduction to Journalism,"Discussion of the history, freedom, technologies, ethics, and functions of the news media. Training in clear, descriptive writing techniques, using journalistic models.",3 hours.,,Advanced Composition course.,,10140,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"King, C"
2026,Winter,2026-wi,LA,545,Graduate Internship,Professionally supervised field experience in design offices and public agencies intended to provide the opportunity for graduate students to develop advanced practice skills. Students work in the department-approved firm or agency of their choice. Seventy five hours of employment is required for each one hour of course credit. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 12 hours. Prerequisite: Restricted to graduate students in Landscape Architecture.,0 TO 12 hours.,Approved for S/U grading only. May be repeated in separate semesters to a maximum of 12 hours. Prerequisite: Restricted to graduate students in Landscape Architecture.,,,10148,A,A,1,,,A,UNKNOWN,Internship,INT,ARRANGED,,,,,"Davis, L"
2026,Winter,2026-wi,LAST,170,"Que Pasa in Latin America? Cultures, Histories and Politics South of the Rio Grande","Interdisciplinary introduction to the ways of life of Latin American peoples, their origins and current expressions; discusses social, economic issues, and domestic and international policies related to them in the context of other societies in developing countries.",3 hours.,,"Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course.",Students must register for one discussion and one lecture section.,10150,WO,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Szremski, K"
2026,Winter,2026-wi,MACS,356,Sex &amp; Gender in Popular Media,"Examines the notion that the mass media influence our development as gendered individuals, looking at those who argue for and against this notion. Considers different forms of feminist theory applied to the study of mass media, the history and scholarly criticisms of the media and their portrayal of women, and feminist attempts to create alternatives to mainstream media images. Throughout, the course considers representation of minorities in the dominant media and examines newly created alternative representations. Same as GWS 356.",3 hours.,Same as GWS 356.,Cultural Studies - Western course.,,10011,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Aguayo, A"
2026,Winter,2026-wi,MUS,132,Popular Music Studies,"Courses within this rubric provide an analytical and historical introduction to genres of popular music from the United States and around the world. Iterations of the course may focus on a specific genre, such as Rock, Reggae, or Afropop, or may deal with broader subjects, such as the continua of styles including R&B, Soul, Funk, and Hip Hop, or the pan-generic, international phenomenon of pop music globalization in the twentieth century.",3 hours.,,"Humanities - Lit & Arts, and Cultural Studies - US Minority course.",,10055,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Broussard, M;Eagen-Jones, M"
2026,Winter,2026-wi,MUS,133,Introduction to World Music,[IAI Code: F1903N] A survey of various musical traditions from different regions and peoples of the world.,3 hours.,,"Humanities - Lit & Arts, and Cultural Studies - Non-West course.",For music and non-music majors. Students must register for one discussion and one lecture section.,10097,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Miller, M;Smith, J"
2026,Winter,2026-wi,NS,120,Intro to US Armed Forces,Same as AFAS 120 and MILS 120. See MILS 120.,3 hours.,Same as AFAS 120 and MILS 120. See MILS 120.,Humanities - Hist & Phil course.,,10095,ONL,A,1,,3 hours,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Ashworth, E"
2026,Winter,2026-wi,PHIL,110,World Religions,Same as REL 110. See REL 110.,3 hours.,Same as REL 110. See REL 110.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",,10107,AL1,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Ebel, J"
2026,Winter,2026-wi,PS,241,Comparative Politics in the Global South,"[IAI Code: S5906N] Provides comparative and historical insights into the problems affecting the developing world by examining social, economic and political changes in Africa, Asia, and Latin America.",3 hours.,,"Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course.",,10066,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Alpay, E"
2026,Winter,2026-wi,PSYC,100,Intro Psych,"[IAI Code: S6900] Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments. Credit is not given toward graduation for: Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 1.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.,Social & Beh Sci - Beh Sci course.,,10034,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Shenouda, C"
2026,Winter,2026-wi,PSYC,204,Intro to Brain and Cognition,"Introduction to the interdisciplinary field of cognitive neuroscience, which is concerned with how the cognitive systems supporting a broad range of capacities including memory, attention, and social and emotional processing, arise from the functioning of specific brain modules and brain mechanisms. Emphasizes how functional brain imaging and other cognitive neuroscience methods can be brought to bear on answering these questions. Prerequisite: PSYC 100 or PSYC 103 or PSYC 105.",3 hours.,Prerequisite: PSYC 100 or PSYC 103 or PSYC 105.,,,10060,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Dolcos, S"
2026,Winter,2026-wi,PSYC,216,Child Psych,[IAI Code: S6903] Study of the psychological development of the child. Credit is not given toward graduation for: Credit is not given for both PSYC 216 and EPSY 236. Prerequisite: PSYC 100 or PSYC 103.,3 hours.,Credit is not given toward graduation for: Credit is not given for both PSYC 216 and EPSY 236. Prerequisite: PSYC 100 or PSYC 103.,,,10099,A,A,1,,,A,UNKNOWN,Online Lecture,OLC,ARRANGED,,,,,"Hyde, D"
2026,Winter,2026-wi,PSYC,230,Perception &amp; Sensory Processes,Survey of the experimental psychology of sensory and perceptual processes and behavior; emphasis on the contribution of behavior science to understanding subjective experience of the physical and social environment.,3 hours.,,Social & Beh Sci - Beh Sci course.,,10061,A,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Lleras Buetti, S"
2026,Winter,2026-wi,REL,110,World Religions,"[IAI Code: H5904N] Survey of the leading living religions, including Hinduism, Buddhism, Confucianism, Taoism, Judaism, Christianity, and Islam; examination of basic texts and of philosophic theological elaborations of each religion. Same as PHIL 110.",3 hours.,Same as PHIL 110.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",,10106,AL1,A,1,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Ebel, J"
