Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information
2018,Fall,2018-fa,ABE,482,Package Engineering,,,,,
2018,Fall,2018-fa,ABE,483,Engrg Properties of Food Matls,,,,,
2018,Fall,2018-fa,ABE,488,Bioprocessing Biomass for Fuel,,,,,
2018,Fall,2018-fa,ABE,497,Independent Study,,,,,
2018,Fall,2018-fa,ABE,498,Special Topics,,,,,
2018,Fall,2018-fa,ABE,501,Graduate Research I,,,,,
2018,Fall,2018-fa,ABE,502,Graduate Research II,,,,,
2018,Fall,2018-fa,ABE,594,Graduate Seminar,,,,,
2018,Fall,2018-fa,ABE,597,Independent Study,,,,,
2018,Fall,2018-fa,ABE,598,Special Topics,,,,,
2018,Fall,2018-fa,ABE,599,Thesis Research,,,,,
2018,Fall,2018-fa,ACCY,199,Undergraduate Open Seminar,,,,,
2018,Fall,2018-fa,ACCY,200,Fundamentals of Accounting,,,,,
2018,Fall,2018-fa,ACCY,201,Accounting and Accountancy I,,,,,
2018,Fall,2018-fa,ACCY,202,Accounting and Accountancy II,,,,,
2018,Fall,2018-fa,ACCY,211,Understanding Financial Statements,,,,,
2018,Fall,2018-fa,ACCY,212,Understanding Accounting for Business Decisions,,,,,
2018,Fall,2018-fa,ACCY,290,Prof Internship in Accountancy,,,,,
2018,Fall,2018-fa,ACCY,301,Atg Measurement &amp; Disclosure,,,,,
2018,Fall,2018-fa,ACCY,302,Decision Making for Atg,,,,,
2018,Fall,2018-fa,ACCY,303,Atg Institutions and Reg,,,,,
2018,Fall,2018-fa,ACCY,304,Accounting Control Systems,,,,,
2018,Fall,2018-fa,ACCY,312,Principles of Taxation,,,,,
2018,Fall,2018-fa,ACCY,321,Principles of Public Policy,,,,,
2018,Fall,2018-fa,ACCY,398,Practical Problems in Atg,,,,,
2018,Fall,2018-fa,ACCY,405,Assurance and Attestation,,,,,
2018,Fall,2018-fa,ACCY,410,Advanced Financial Reporting,,,,,
2018,Fall,2018-fa,ACCY,415,Auditing Stds and Practice,,,,,
2018,Fall,2018-fa,ACCY,451,Advanced Income Tax Problems,,,,,
2018,Fall,2018-fa,ACCY,499,Senior Research,,,,,
2018,Fall,2018-fa,ACCY,500,"Accounting Measurement, Reporting, and Control",,,,,
2018,Fall,2018-fa,ACCY,501,Accounting Analysis I,,,,,
2018,Fall,2018-fa,ACCY,502,Accounting Analysis II,,,,,
2018,Fall,2018-fa,ACCY,503,Managerial Accounting,,,,,
2018,Fall,2018-fa,ACCY,504,Auditing,,,,,
2018,Fall,2018-fa,ACCY,505,Federal Taxation,,,,,
2018,Fall,2018-fa,ACCY,506,Advanced Topics in Accounting,,,,,
2018,Fall,2018-fa,ACCY,507,Taxation of Business Entities,,,,,
2018,Fall,2018-fa,ACCY,510,Financial Reporting Standards,,,,,
2018,Fall,2018-fa,ACCY,511,External Risk Measurement and Reporting,,,,,
2018,Fall,2018-fa,ACCY,512,Data Analytics for Management Accounting,,,,,
2018,Fall,2018-fa,ACCY,515,Auditing &amp; Assurance Standards,,,,,
2018,Fall,2018-fa,ACCY,517,Financial Statement Analysis,,,,,
2018,Fall,2018-fa,ACCY,518,Financial Statement Fraud,,,,,
2018,Fall,2018-fa,ACCY,550,Multistate Taxation,,,,,
2018,Fall,2018-fa,ACCY,551,Corporate Income Taxation,,,,,
2018,Fall,2018-fa,ACCY,552,Partnership Income Taxation,,,,,
2018,Fall,2018-fa,ACCY,553,Selected Topics in Fed Tax,,,,,
2018,Fall,2018-fa,ACCY,554,International Taxation,,,,,
2018,Fall,2018-fa,ACCY,555,Income Tax Accounting,,,,,
2018,Fall,2018-fa,ACCY,556,Tax Research,,,,,
2018,Fall,2018-fa,ACCY,557,Accounting Periods and Methods,,,,,
2018,Fall,2018-fa,ACCY,558,Taxation of Closely-Held Bus.,,,,,
2018,Fall,2018-fa,ACCY,559,Tax Policy,,,,,
2018,Fall,2018-fa,ACCY,560,Information in Value Creation,,,,,
2018,Fall,2018-fa,ACCY,561,Taxes and Business Strategy,,,,,
2018,Fall,2018-fa,ACCY,562,Tax Procedures,,,,,
2018,Fall,2018-fa,ACCY,563,Consolidated Returns,,,,,
2018,Fall,2018-fa,ACCY,564,Reorganizations,,,,,
2018,Fall,2018-fa,ACCY,570,Data Analytics Foundations for Accountancy,,,,,
2018,Fall,2018-fa,ACCY,571,Statistical Analyses for Accountancy,,,,,
2018,Fall,2018-fa,ACCY,575,Data Analytics Applications in Accountancy,,,,,
2018,Fall,2018-fa,ACCY,585,Constructs in Atg Research,,,,,
2018,Fall,2018-fa,ACCY,590,Adv Prof Internship in ACCY,,,,,
2018,Fall,2018-fa,ACCY,592,Intro to ACCY Research,,,,,
2018,Fall,2018-fa,ACCY,593,Special Research Problems,,,,,
2018,Fall,2018-fa,ACCY,594,Doctoral Research Seminar,,,,,
2018,Fall,2018-fa,ACCY,595,Models of Decision and Choice,,,,,
2018,Fall,2018-fa,ACCY,599,Thesis Research,,,,,
2018,Fall,2018-fa,ACE,100,Agr Cons and Resource Econ,,,,,
2018,Fall,2018-fa,ACE,161,Microcomputer Applications,,,,,
2018,Fall,2018-fa,ACE,199,Undergraduate Open Seminar,,,,,
2018,Fall,2018-fa,ACE,210,Environmental Economics,,,,,
2018,Fall,2018-fa,ACE,222,Agricultural Marketing,,,,,
