Year,Term,YearTerm,Subject,Number,Title
2019,Spring,2019-sp,ABE,599,"Thesis Research"
2019,Spring,2019-sp,ACCY,199,"Undergraduate Open Seminar"
2019,Spring,2019-sp,ACCY,200,"Fundamentals of Accounting"
2019,Spring,2019-sp,ACCY,201,"Accounting and Accountancy I"
2019,Spring,2019-sp,ACCY,202,"Accounting and Accountancy II"
2019,Spring,2019-sp,ACCY,211,"Understanding Financial Statements"
2019,Spring,2019-sp,ACCY,212,"Understanding Accounting for Business Decisions"
2019,Spring,2019-sp,ACCY,290,"Prof Internship in Accountancy"
2019,Spring,2019-sp,ACCY,301,"Atg Measurement & Disclosure"
2019,Spring,2019-sp,ACCY,302,"Decision Making for Atg"
2019,Spring,2019-sp,ACCY,303,"Atg Institutions and Reg"
2019,Spring,2019-sp,ACCY,304,"Accounting Control Systems"
2019,Spring,2019-sp,ACCY,312,"Principles of Taxation"
2019,Spring,2019-sp,ACCY,321,"Principles of Public Policy"
2019,Spring,2019-sp,ACCY,398,"Practical Problems in Atg"
2019,Spring,2019-sp,ACCY,405,"Assurance and Attestation"
2019,Spring,2019-sp,ACCY,410,"Advanced Financial Reporting"
2019,Spring,2019-sp,ACCY,415,"Auditing Stds and Practice"
2019,Spring,2019-sp,ACCY,451,"Advanced Income Tax Problems"
2019,Spring,2019-sp,ACCY,499,"Senior Research"
2019,Spring,2019-sp,ACCY,500,"Accounting Measurement, Reporting, and Control"
2019,Spring,2019-sp,ACCY,501,"Accounting Analysis I"
2019,Spring,2019-sp,ACCY,502,"Accounting Analysis II"
2019,Spring,2019-sp,ACCY,503,"Managerial Accounting"
2019,Spring,2019-sp,ACCY,504,"Auditing"
2019,Spring,2019-sp,ACCY,505,"Federal Taxation"
2019,Spring,2019-sp,ACCY,506,"Advanced Topics in Accounting"
2019,Spring,2019-sp,ACCY,507,"Taxation of Business Entities"
2019,Spring,2019-sp,ACCY,510,"Financial Reporting Standards"
2019,Spring,2019-sp,ACCY,511,"External Risk Measurement and Reporting"
2019,Spring,2019-sp,ACCY,512,"Data Analytics for Management Accounting"
2019,Spring,2019-sp,ACCY,515,"Auditing & Assurance Standards"
2019,Spring,2019-sp,ACCY,517,"Financial Statement Analysis"
2019,Spring,2019-sp,ACCY,518,"Financial Statement Fraud"
2019,Spring,2019-sp,ACCY,550,"Multistate Taxation"
2019,Spring,2019-sp,ACCY,551,"Corporate Income Taxation"
2019,Spring,2019-sp,ACCY,552,"Partnership Income Taxation"
2019,Spring,2019-sp,ACCY,553,"Selected Topics in Fed Tax"
2019,Spring,2019-sp,ACCY,554,"International Taxation"
2019,Spring,2019-sp,ACCY,555,"Income Tax Accounting"
2019,Spring,2019-sp,ACCY,556,"Tax Research"
2019,Spring,2019-sp,ACCY,557,"Accounting Periods and Methods"
2019,Spring,2019-sp,ACCY,558,"Taxation of Closely-Held Bus."
2019,Spring,2019-sp,ACCY,559,"Tax Policy"
2019,Spring,2019-sp,ACCY,560,"Information in Value Creation"
2019,Spring,2019-sp,ACCY,561,"Taxes and Business Strategy"
2019,Spring,2019-sp,ACCY,562,"Tax Procedures"
2019,Spring,2019-sp,ACCY,563,"Consolidated Returns"
2019,Spring,2019-sp,ACCY,564,"Reorganizations"
2019,Spring,2019-sp,ACCY,570,"Data Analytics Foundations for Accountancy"
2019,Spring,2019-sp,ACCY,571,"Statistical Analyses for Accountancy"
2019,Spring,2019-sp,ACCY,575,"Data Analytics Applications in Accountancy"
2019,Spring,2019-sp,ACCY,585,"Constructs in Atg Research"
2019,Spring,2019-sp,ACCY,590,"Adv Prof Internship in ACCY"
2019,Spring,2019-sp,ACCY,592,"Intro to ACCY Research"
2019,Spring,2019-sp,ACCY,593,"Special Research Problems"
2019,Spring,2019-sp,ACCY,594,"Doctoral Research Seminar"
2019,Spring,2019-sp,ACCY,595,"Models of Decision and Choice"
2019,Spring,2019-sp,ACCY,599,"Thesis Research"
2019,Spring,2019-sp,ACE,100,"Agr Cons and Resource Econ"
2019,Spring,2019-sp,ACE,161,"Microcomputer Applications"
2019,Spring,2019-sp,ACE,199,"Undergraduate Open Seminar"
2019,Spring,2019-sp,ACE,210,"Environmental Economics"
2019,Spring,2019-sp,ACE,222,"Agricultural Marketing"
2019,Spring,2019-sp,ACE,231,"Food and Agribusiness Mgt"
2019,Spring,2019-sp,ACE,232,"Farm Management"
2019,Spring,2019-sp,ACE,240,"Personal Financial Planning"
2019,Spring,2019-sp,ACE,251,"The World Food Economy"
2019,Spring,2019-sp,ACE,254,"Economic Systems in Africa"
2019,Spring,2019-sp,ACE,255,"Economics of Food and Environmental Justice"
2019,Spring,2019-sp,ACE,261,"Applied Statistical Methods"
2019,Spring,2019-sp,ACE,270,"Consumer Economics"
2019,Spring,2019-sp,ACE,291,"Ag Policy & Leadership"
2019,Spring,2019-sp,ACE,292,"Farm, Food & Environmental Policy"
2019,Spring,2019-sp,ACE,293,"Off-Campus Internship"
2019,Spring,2019-sp,ACE,294,"On-Campus Internship"
2019,Spring,2019-sp,ACE,295,"Independent Study"
2019,Spring,2019-sp,ACE,306,"Food Law"
2019,Spring,2019-sp,ACE,310,"Natural Resource Economics"
2019,Spring,2019-sp,ACE,321,"Principles of Public Policy"
2019,Spring,2019-sp,ACE,335,"Food Marketing and Behavior"
2019,Spring,2019-sp,ACE,341,"Issues&Careers in Applied Econ"
2019,Spring,2019-sp,ACE,345,"Finan Decision Indiv Sm Bus"
2019,Spring,2019-sp,ACE,346,"Tax Policy and Finan Planning"
2019,Spring,2019-sp,ACE,360,"Spreadsheet Models & Applic"
