Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,3,9,7,1,3,3,2,1,0,0,0,0,0,0,"Anderson, Spencer B"
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,4,8,9,5,1,4,1,0,0,0,0,0,0,0,"Anderson, Spencer B"
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,1,8,2,6,3,6,0,0,1,0,0,0,0,1,"Wang, Zhiguang"
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,2,9,7,5,4,3,2,0,0,0,0,0,0,0,"Wang, Zhiguang"
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,0,2,6,6,7,8,1,0,0,0,0,0,1,0,"Sougiannis, Theodore"
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,0,6,6,5,6,4,2,2,1,0,0,0,0,0,"Wang, Zhiguang"
2017,Fall,2017-fa,ACCY,301,Atg Measurement & Disclosure,0,3,5,5,4,2,0,0,0,0,0,0,2,0,"Sougiannis, Theodore"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,0,1,7,9,11,2,2,0,0,2,1,1,0,0,"Finnegan, Thomas"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,0,7,14,7,7,2,0,0,0,0,0,0,0,0,"Finnegan, Thomas"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,2,2,4,11,5,2,2,1,0,0,1,1,1,0,"Wu, Martin G"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,6,6,10,4,5,4,0,0,1,0,0,0,0,1,"Wu, Martin G"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,0,8,5,12,7,3,0,0,0,0,0,0,0,0,"Finnegan, Thomas"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,6,1,5,6,1,5,5,0,2,0,0,0,0,0,"Wu, Martin G"
2017,Fall,2017-fa,ACCY,302,Decision Making for Atg,5,5,9,6,3,4,1,0,1,0,0,0,0,0,"Wu, Martin G"
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,1,1,3,4,3,3,5,1,4,0,0,2,0,0,"Zhu, Wei"
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,3,4,7,7,5,1,3,1,0,1,1,1,0,1,"Zhu, Wei"
2017,Fall,2017-fa,ACCY,303,Atg Institutions and Reg,2,8,13,2,9,1,0,1,0,0,0,0,0,0,"Brown, Timothy J"
