Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
2018,120188,KP ,251,PHD ,231,Environ Engr in Civil Engr ,  ,  ,36,22,14,0,11,3,0,2,0,0,0,20,0,0,0,0,3,8,28,10KS0231PHD
2018,120188,KP ,251,PHD ,231,Environ Engr in Civil Engr ,5511,Computational Sci & Engr ,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,10KS0231PHD
2018,120188,KV ,253,BSLAS ,334,Atmospheric Sciences ,  ,  ,70,44,26,0,49,4,1,9,0,0,3,4,0,1,0,0,7,56,14,10KV0334BSLA
2018,120188,KV ,253,BSLAS ,334,Atmospheric Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KV8037BSLA
2018,120188,KV ,253,MS ,334,Atmospheric Sciences ,  ,  ,12,8,4,0,9,1,0,0,0,0,1,1,0,1,0,0,1,5,7,10KS0334MS
2018,120188,KV ,253,PHD ,334,Atmospheric Sciences ,  ,  ,32,23,9,0,10,0,1,4,0,0,0,17,0,1,0,0,0,4,28,10KS0334PHD
2018,120188,KV ,253,PHD ,334,Atmospheric Sciences ,5511,Computational Sci & Engr ,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10KS0334PHD
2018,120188,KV ,257,BALAS ,439,Mathematics ,3895,Applied Mathematics ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KV8037BALA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,  ,  ,40,29,11,0,8,4,0,1,0,0,1,26,0,0,0,0,5,13,27,10KV0439BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,  ,  ,74,35,39,0,5,8,0,0,0,0,1,60,0,1,0,0,8,9,65,10KV8037BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,3894,Operations Research ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KV8037BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,3895,Applied Mathematics ,15,10,5,0,4,1,0,2,0,0,0,8,0,0,0,0,1,7,8,10KV3895BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,3895,Applied Mathematics ,7,3,4,0,0,1,0,0,0,0,0,6,0,0,0,0,1,1,6,10KV8037BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,3896,Graduate Preparation ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KV3896BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,3897,Mathematics Teaching Option ,17,8,9,0,12,3,2,0,0,0,0,0,0,2,0,0,3,16,1,10KV3897BSLA
2018,120188,KV ,257,BSLAS ,439,Mathematics ,3897,Mathematics Teaching Option ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10KV8037BSLA
2018,120188,KV ,257,BSLAS ,461,Actuarial Science ,  ,  ,303,186,117,0,110,80,4,15,0,1,8,84,1,5,2,3,86,197,106,10KV0461BSLA
2018,120188,KV ,257,BSLAS ,461,Actuarial Science ,  ,  ,59,23,36,0,11,15,2,1,0,0,2,28,0,2,1,1,17,24,35,10KV8037BSLA
2018,120188,KV ,257,BSLAS ,1438,Math & Computer Science ,  ,  ,264,218,46,0,56,93,1,7,0,0,3,101,3,2,0,0,96,84,180,10KV1438BSLA
2018,120188,KV ,257,BSLAS ,1438,Math & Computer Science ,  ,  ,9,7,2,0,0,2,0,0,0,0,0,7,0,0,0,0,2,1,8,10KV8037BSLA
2018,120188,KV ,257,MS ,290,Teaching of Mathematics ,  ,  ,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,10KS0290MS
2018,120188,KV ,257,MS ,327,Applied Mathematics ,  ,  ,13,8,5,0,0,1,0,0,0,0,0,12,0,0,0,0,1,1,12,10KS0327MS
2018,120188,KV ,257,MS ,439,Mathematics ,  ,  ,13,11,2,0,1,1,0,1,0,0,0,10,0,0,0,0,1,0,13,10KS0439MS
2018,120188,KV ,257,MS ,461,Actuarial Science ,  ,  ,36,22,14,0,2,2,1,0,0,0,0,31,0,1,0,0,2,3,33,10KS0461MS
2018,120188,KV ,257,NONE ,439,Mathematics ,  ,  ,464,319,144,1,93,54,9,33,0,0,7,267,1,9,5,3,62,166,298,10KV0439NONE
2018,120188,KV ,257,PHD ,439,Mathematics ,  ,  ,134,85,49,0,38,9,2,16,0,0,4,64,1,8,0,1,13,5,129,10KS0439PHD
2018,120188,KV ,257,PHD ,439,Mathematics ,5511,Computational Sci & Engr ,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10KS0439PHD
2018,120188,KV ,257,PHD ,439,Mathematics ,5626,Actuarial Sci & Risk Analytics ,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10KS0439PHD
2018,120188,KM ,260,BS ,75,Finance ,  ,  ,630,450,180,0,346,136,16,51,0,0,12,62,7,16,4,1,149,506,124,10KM0075BS
2018,120188,KM ,260,MS ,5624,Finance ,  ,  ,239,109,130,0,3,5,1,0,0,0,0,230,0,1,0,0,5,7,232,10KS5624MSK
2018,120188,KM ,260,PHD ,5624,Finance ,  ,  ,18,13,5,0,0,1,0,0,0,0,0,17,0,0,0,0,1,0,18,10KS5624PHD
2018,120188,KV ,265,BALAS ,5313,"Earth, Soc, Env Sustainability ",  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KV8037BALA
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",  ,  ,41,20,21,0,20,7,1,7,0,0,0,6,0,1,0,0,7,32,9,10KV5313BSLA
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",  ,  ,11,2,9,0,9,0,1,1,0,0,0,0,0,1,0,0,0,8,3,10KV5313BSLU
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",  ,  ,6,3,3,0,3,0,0,1,0,0,1,1,0,0,0,0,1,4,2,10KV8037BSLA
2018,120188,KV ,265,BSLAS ,5313,"Earth, Soc, Env Sustainability ",5103,Society and the Environment ,40,18,22,0,21,5,5,6,0,0,1,2,0,6,1,0,6,36,4,10KV5313BSLA
