State,Year,Undergrad,Professional,Grad,Total
Montana,1991,3,0,0,3
Nebraska,1991,14,0,14,28
Nevada,1991,2,0,4,6
New Hampshire,1991,9,0,4,13
New Jersey,1991,77,4,37,118
New Mexico,1991,6,0,12,18
New York,1991,89,5,91,185
North Carolina,1991,16,1,18,35
North Dakota,1991,1,0,6,7
Ohio,1991,110,2,57,169
Oklahoma,1991,10,0,13,23
Oregon,1991,6,0,12,18
Pennsylvania,1991,65,5,76,146
Rhode Island,1991,6,1,5,12
South Carolina,1991,5,0,12,17
South Dakota,1991,1,0,2,3
Tennessee,1991,43,2,25,70
Texas,1991,49,0,47,96
Utah,1991,1,1,4,6
Vermont,1991,3,0,3,6
Virginia,1991,36,1,34,71
Washington,1991,9,1,14,24
West Virginia,1991,6,0,3,9
Wisconsin,1991,53,1,53,107
Wyoming,1991,1,0,3,4
Alabama,1990,11,1,14,26
Alaska,1990,5,0,3,8
Arizona,1990,11,0,10,21
Arkansas,1990,8,0,6,14
California,1990,81,4,79,164
Colorado,1990,22,0,17,39
Connecticut,1990,33,2,14,49
Delaware,1990,6,0,3,9
District of Columbia,1990,3,1,0,4
Florida,1990,53,2,25,80
Georgia,1990,22,1,20,43
Hawaii,1990,7,0,12,19
Idaho,1990,0,0,4,4
Illinois,1990,24735,854,4765,30354
Indiana,1990,95,1,71,167
Iowa,1990,45,0,33,78
Kansas,1990,18,3,23,44
Kentucky,1990,42,1,22,65
Louisiana,1990,8,2,12,22
Maine,1990,4,0,0,4
Maryland,1990,30,3,28,61
Massachusetts,1990,26,1,24,51
Michigan,1990,38,6,100,144
Minnesota,1990,23,1,3,27
Mississippi,1990,0,0,7,7
Missouri,1990,177,6,60,243
Montana,1990,2,0,1,3
Nebraska,1990,18,0,1,19
Nevada,1990,2,0,3,5
New Hampshire,1990,9,0,6,15
New Jersey,1990,76,2,37,115
New Mexico,1990,5,0,14,19
New York,1990,88,3,96,187
North Carolina,1990,8,1,23,32
North Dakota,1990,2,0,5,7
Ohio,1990,116,2,76,194
Oklahoma,1990,8,0,12,20
Oregon,1990,8,0,12,20
Pennsylvania,1990,60,4,74,138
Rhode Island,1990,3,0,5,8
South Carolina,1990,8,0,14,22
South Dakota,1990,3,1,2,6
Tennessee,1990,39,2,28,69
Texas,1990,44,0,45,89
Utah,1990,1,0,5,6
Vermont,1990,2,0,2,4
Virginia,1990,42,0,25,67
Washington,1990,9,0,17,26
West Virginia,1990,8,0,3,11
Wisconsin,1990,45,1,50,96
Wyoming,1990,1,0,4,5
Alabama,1989,7,1,9,17
Alaska,1989,5,0,3,8
Arizona,1989,9,1,11,21
Arkansas,1989,5,1,6,12
California,1989,63,6,77,146
Colorado,1989,9,0,21,30
Connecticut,1989,31,2,13,46
Delaware,1989,6,0,3,9
District of Columbia,1989,0,3,0,3
Florida,1989,43,3,23,69
Georgia,1989,22,2,12,36
Hawaii,1989,5,0,7,12
Idaho,1989,0,0,2,2
Illinois,1989,24479,851,4784,30114
Indiana,1989,94,4,68,166
Iowa,1989,38,1,38,77
Kansas,1989,13,3,21,37
Kentucky,1989,36,0,23,59
Louisiana,1989,4,1,8,13
Maine,1989,3,0,1,4
Maryland,1989,20,2,23,45
Massachusetts,1989,30,1,23,54
Michigan,1989,37,1,74,112
Minnesota,1989,25,0,31,56
Mississippi,1989,0,0,6,6
Missouri,1989,159,6,62,227
Montana,1989,1,0,4,5
Nebraska,1989,16,1,8,25
Nevada,1989,2,0,2,4
New Hampshire,1989,5,0,4,9
New Jersey,1989,68,5,30,103
New Mexico,1989,5,0,10,15
New York,1989,69,6,89,164
North Carolina,1989,10,1,14,25
North Dakota,1989,0,0,4,4
Ohio,1989,91,0,63,154
Oklahoma,1989,9,1,9,19
Oregon,1989,3,1,11,15
Pennsylvania,1989,43,2,56,101
Rhode Island,1989,2,0,2,4
South Carolina,1989,7,2,10,19
South Dakota,1989,1,0,5,6
Tennessee,1989,36,1,27,64
Texas,1989,33,0,38,71
Utah,1989,1,0,9,10
Vermont,1989,3,1,1,5
Virginia,1989,24,0,27,51
Washington,1989,6,1,20,27
West Virginia,1989,8,0,2,10
Wisconsin,1989,44,0,40,84
Wyoming,1989,1,0,5,6
Alabama,1988,8,0,13,21
Alaska,1988,2,0,4,6
Arizona,1988,13,0,9,22
Arkansas,1988,6,0,4,10
California,1988,79,3,84,166
Colorado,1988,14,1,20,35
Connecticut,1988,28,1,6,35
Delaware,1988,6,0,3,9
District of Columbia,1988,1,4,0,5
Florida,1988,46,4,27,77
Georgia,1988,18,0,9,27
Hawaii,1988,5,1,5,11
Idaho,1988,0,0,1,1
Illinois,1988,25478,852,2995,29325
Indiana,1988,93,6,65,164
Iowa,1988,29,1,21,51
Kansas,1988,12,1,20,33
Kentucky,1988,34,0,15,49
Louisiana,1988,4,1,7,12
Maine,1988,2,0,2,4
Maryland,1988,21,1,14,36
Massachusetts,1988,18,1,27,46
Michigan,1988,32,4,72,108
Minnesota,1988,23,0,29,52
Mississippi,1988,2,0,6,8
Missouri,1988,167,7,56,230
Montana,1988,1,0,2,3
Nebraska,1988,14,1,13,28
Nevada,1988,2,0,5,7
New Hampshire,1988,4,0,2,6
New Jersey,1988,65,5,30,100
New Mexico,1988,6,0,14,20
New York,1988,69,7,86,162
North Carolina,1988,7,0,19,26
North Dakota,1988,0,0,3,3
Ohio,1988,89,2,69,160
Oklahoma,1988,10,0,13,23
Oregon,1988,3,0,11,14
Pennsylvania,1988,42,2,45,89
Rhode Island,1988,0,0,4,4
South Carolina,1988,5,1,6,12
South Dakota,1988,1,0,4,5
Tennessee,1988,26,0,35,61
Texas,1988,27,0,37,64
Utah,1988,0,0,3,3
Vermont,1988,2,1,1,4
Virginia,1988,24,0,30,54
Washington,1988,10,1,22,33
West Virginia,1988,3,0,1,4
Wisconsin,1988,35,2,32,69
Wyoming,1988,1,1,4,6
Alabama,1987,13,0,12,25
Alaska,1987,0,0,0,0
Arizona,1987,12,0,9,21
Arkansas,1987,5,1,10,16
California,1987,65,1,112,178
Colorado,1987,15,0,29,44
Connecticut,1987,25,3,9,37
Delaware,1987,3,0,0,3
District of Columbia,1987,1,5,0,6
Florida,1987,29,1,25,55
Georgia,1987,24,1,21,46
Hawaii,1987,0,0,0,0
Idaho,1987,1,0,5,6
Illinois,1987,25733,886,5029,31648
Indiana,1987,94,2,77,173
Iowa,1987,25,1,28,54
Kansas,1987,14,1,27,42
Kentucky,1987,39,0,21,60
Louisiana,1987,5,0,6,11
Maine,1987,1,0,1,2
Maryland,1987,26,0,23,49
Massachusetts,1987,18,0,30,48
Michigan,1987,40,5,71,116
Minnesota,1987,22,1,33,56
Mississippi,1987,2,0,4,6
Missouri,1987,174,5,71,250
Montana,1987,3,0,4,7
Nebraska,1987,16,0,10,26
Nevada,1987,2,0,3,5
New Hampshire,1987,4,0,4,8
New Jersey,1987,68,2,35,105
New Mexico,1987,6,0,11,17
New York,1987,59,3,82,144
North Carolina,1987,7,0,5,12
North Dakota,1987,1,0,6,7
Ohio,1987,92,3,77,172
Oklahoma,1987,7,0,12,19
Oregon,1987,4,0,8,12
Pennsylvania,1987,28,2,42,72
Rhode Island,1987,1,0,3,4
South Carolina,1987,3,1,10,14
South Dakota,1987,2,0,5,7
Tennessee,1987,24,0,30,54
Texas,1987,22,0,36,58
Utah,1987,0,0,8,8
Vermont,1987,1,1,4,6
Virginia,1987,21,0,32,53
Washington,1987,3,1,19,23
West Virginia,1987,4,0,4,8
Wisconsin,1987,40,0,51,91
Wyoming,1987,0,0,3,3
Alabama,1986,10,0,15,25
Alaska,1986,0,0,0,0
Arizona,1986,6,0,14,20
Arkansas,1986,5,1,6,12
California,1986,60,0,100,160
Colorado,1986,11,1,23,35
Connecticut,1986,19,3,18,40
Delaware,1986,2,0,7,9
District of Columbia,1986,0,8,0,8
Florida,1986,32,1,23,56
Georgia,1986,38,1,12,51
Hawaii,1986,1,0,1,2
Idaho,1986,0,0,3,3
Illinois,1986,26024,902,5034,31960
Indiana,1986,76,3,74,153
Iowa,1986,25,0,34,59
Kansas,1986,7,0,4,11
Kentucky,1986,36,0,26,62
Louisiana,1986,5,0,11,16
Maine,1986,2,0,4,6
Maryland,1986,25,1,23,49
Massachusetts,1986,12,1,37,50
Michigan,1986,35,9,70,114
Minnesota,1986,15,1,36,52
Mississippi,1986,2,0,3,5
Missouri,1986,165,10,64,239
Montana,1986,4,0,5,9
Nebraska,1986,7,1,18,26
Nevada,1986,1,0,1,2
New Hampshire,1986,5,0,6,11
New Jersey,1986,57,1,30,88
New Mexico,1986,4,0,13,17
New York,1986,52,4,84,140
North Carolina,1986,1,0,20,21
North Dakota,1986,1,0,10,11
Ohio,1986,75,2,79,156
Oklahoma,1986,4,0,14,18
Oregon,1986,1,0,9,10
Pennsylvania,1986,28,0,51,79
Rhode Island,1986,2,0,2,4
South Carolina,1986,3,0,14,17
South Dakota,1986,1,0,5,6
Tennessee,1986,22,1,27,50
Texas,1986,12,0,31,43
Utah,1986,1,0,5,6
Vermont,1986,2,0,6,8
Virginia,1986,16,0,42,58
Washington,1986,3,1,30,34
West Virginia,1986,3,0,5,8
Wisconsin,1986,47,0,47,94
Wyoming,1986,2,0,2,4
Alabama,1985,5,0,12,17
Alaska,1985,0,0,,0
Arizona,1985,4,0,11,15
Arkansas,1985,4,0,11,15
California,1985,62,0,115,177
Colorado,1985,11,1,18,30
Connecticut,1985,15,2,22,39
Delaware,1985,2,0,6,8
District of Columbia,1985,1,5,0,6
Florida,1985,17,2,27,46
Georgia,1985,16,1,15,32
Hawaii,1985,2,0,2,4
Idaho,1985,0,0,7,7
Illinois,1985,26126,895,4823,31844
Indiana,1985,64,2,69,135
Iowa,1985,24,2,42,68
Kansas,1985,13,0,27,40
Kentucky,1985,32,0,21,53
Louisiana,1985,6,0,17,23
Maine,1985,1,0,4,5
Maryland,1985,22,0,17,39
Massachusetts,1985,10,0,40,50
Michigan,1985,31,6,67,104
Minnesota,1985,14,0,53,67
Mississippi,1985,2,1,5,8
Missouri,1985,169,0,61,230
Montana,1985,3,0,9,12
Nebraska,1985,17,1,18,36
Nevada,1985,2,1,2,5
New Hampshire,1985,2,1,5,8
New Jersey,1985,64,0,39,103
New Mexico,1985,5,0,17,22
New York,1985,46,2,105,153
North Carolina,1985,3,1,23,27
North Dakota,1985,1,0,4,5
Ohio,1985,28,0,81,109
Oklahoma,1985,4,0,15,19
Oregon,1985,1,0,14,15
Pennsylvania,1985,20,0,60,80
Rhode Island,1985,3,0,5,8
South Carolina,1985,5,0,9,14
South Dakota,1985,1,0,7,8
Tennessee,1985,16,0,20,36
Texas,1985,12,0,31,43
Utah,1985,1,0,9,10
Vermont,1985,0,0,5,5
Virginia,1985,17,1,36,54
Washington,1985,1,0,21,22
West Virginia,1985,3,0,4,7
Wisconsin,1985,43,0,66,109
Wyoming,1985,1,0,5,6
Alabama,1984,8,0,11,19
Alaska,1984,0,0,0,0
Arizona,1984,4,0,11,15
Arkansas,1984,4,0,11,15
California,1984,64,0,107,171
Colorado,1984,10,0,31,41
Connecticut,1984,11,1,23,35
Delaware,1984,4,0,5,9
District of Columbia,1984,1,7,0,8
Florida,1984,25,0,30,55
Georgia,1984,15,0,8,23
Hawaii,1984,8,0,9,17
Idaho,1984,0,0,3,3
Illinois,1984,25124,904,4839,30867
Indiana,1984,67,3,74,144
Iowa,1984,23,1,37,61
Kansas,1984,10,1,18,29
Kentucky,1984,28,0,16,44
Louisiana,1984,4,0,12,16
Maine,1984,1,0,3,4
Maryland,1984,18,0,18,36
Massachusetts,1984,10,3,28,41
Michigan,1984,26,11,72,109
Minnesota,1984,11,0,58,69
Mississippi,1984,2,0,4,6
Missouri,1984,137,3,53,193
Montana,1984,1,0,8,9
Nebraska,1984,18,0,20,38
Nevada,1984,2,0,1,3
New Hampshire,1984,1,1,8,10
New Jersey,1984,49,3,43,95
New Mexico,1984,5,1,13,19
New York,1984,34,2,115,151
North Carolina,1984,6,0,22,28
North Dakota,1984,2,0,8,10
Ohio,1984,58,4,86,148
Oklahoma,1984,4,0,13,17
Oregon,1984,2,0,10,12
Pennsylvania,1984,25,0,64,89
Rhode Island,1984,3,0,4,7
South Carolina,1984,0,0,6,6
South Dakota,1984,1,0,10,11
Tennessee,1984,18,0,20,38
Texas,1984,10,0,33,43
Utah,1984,0,0,12,12
Vermont,1984,0,0,4,4
Virginia,1984,18,1,39,58
Washington,1984,3,0,22,25
West Virginia,1984,2,0,3,5
Wisconsin,1984,38,0,78,116
Wyoming,1984,1,0,2,3
Alabama,1983,7,0,10,17
Alaska,1983,0,0,3,3
Arizona,1983,3,0,8,11
Arkansas,1983,6,0,8,14
California,1983,41,1,113,155
Colorado,1983,10,1,21,32
Connecticut,1983,9,2,23,34
Delaware,1983,4,0,5,9
District of Columbia,1983,2,4,0,6
Florida,1983,27,0,28,55
Georgia,1983,11,0,13,24
Hawaii,1983,12,0,14,26
Idaho,1983,1,0,8,9
Illinois,1983,25083,938,4874,30895
Indiana,1983,49,2,69,120
Iowa,1983,21,1,30,52
Kansas,1983,7,2,27,36
Kentucky,1983,20,0,14,34
Louisiana,1983,2,0,11,13
Maine,1983,2,0,2,4
Maryland,1983,13,0,28,41
Massachusetts,1983,8,1,36,45
Michigan,1983,28,9,55,92
Minnesota,1983,11,0,59,70
Mississippi,1983,1,0,5,6
Missouri,1983,128,4,62,194
Montana,1983,2,0,7,9
Nebraska,1983,11,0,15,26
Nevada,1983,0,0,1,1
New Hampshire,1983,0,0,1,1
New Jersey,1983,43,2,39,84
New Mexico,1983,5,1,16,22
New York,1983,27,3,126,156
North Carolina,1983,5,0,27,32
North Dakota,1983,0,0,5,5
Ohio,1983,60,3,95,158
Oklahoma,1983,2,0,8,10
Oregon,1983,2,0,14,16
Pennsylvania,1983,31,0,66,97
Rhode Island,1983,1,0,,1
South Carolina,1983,1,0,5,6
South Dakota,1983,2,0,7,9
Tennessee,1983,13,0,18,31
Texas,1983,10,1,47,58
Utah,1983,0,0,9,9
Vermont,1983,0,0,8,8
Virginia,1983,13,2,27,42
Washington,1983,4,0,13,17
West Virginia,1983,0,0,7,7
Wisconsin,1983,33,2,73,108
Wyoming,1983,0,0,2,2
Alabama,1982,6,0,13,19
Alaska,1982,1,0,3,4
Arizona,1982,4,0,8,12
Arkansas,1982,7,0,5,12
California,1982,50,1,90,141
Colorado,1982,10,1,16,27
Connecticut,1982,10,0,31,41
Delaware,1982,2,0,8,10
District of Columbia,1982,3,7,0,10
Florida,1982,32,1,37,70
Georgia,1982,9,0,15,24
Hawaii,1982,10,0,9,19
Idaho,1982,0,0,7,7
Illinois,1982,25416,928,4971,31315
Indiana,1982,61,3,60,124
Iowa,1982,15,1,40,56
Kansas,1982,11,1,26,38
Kentucky,1982,20,0,16,36
Louisiana,1982,3,0,6,9
Maine,1982,1,0,3,4
Maryland,1982,7,0,32,39
Massachusetts,1982,12,0,39,51
Michigan,1982,24,7,60,91
Minnesota,1982,9,1,44,54
Mississippi,1982,1,0,3,4
Missouri,1982,112,5,9,126
Montana,1982,1,0,4,5
Nebraska,1982,11,0,10,21
Nevada,1982,1,0,2,3
New Hampshire,1982,1,0,1,2
New Jersey,1982,35,4,49,88
New Mexico,1982,4,0,13,17
New York,1982,29,5,119,153
North Carolina,1982,5,0,27,32
North Dakota,1982,0,0,4,4
Ohio,1982,54,6,87,147
Oklahoma,1982,6,0,9,15
Oregon,1982,1,1,8,10
Pennsylvania,1982,26,1,63,90
Rhode Island,1982,0,0,3,3
South Carolina,1982,1,0,8,9
South Dakota,1982,0,1,8,9
Tennessee,1982,13,0,17,30
Texas,1982,12,1,52,65
Utah,1982,0,1,7,8
Vermont,1982,0,0,3,3
Virginia,1982,14,1,33,48
Washington,1982,1,1,17,19
West Virginia,1982,2,0,7,9
Wisconsin,1982,36,3,76,115
Wyoming,1982,0,0,0,0
Alabama,1981,6,1,15,22
Alaska,1981,0,0,2,2
Arizona,1981,4,0,8,12
Arkansas,1981,3,0,4,7
California,1981,39,1,81,121
Colorado,1981,13,0,12,25
Connecticut,1981,15,1,28,44
Delaware,1981,2,0,7,9
District of Columbia,1981,2,7,0,9
Florida,1981,35,2,30,67
Georgia,1981,6,0,11,17
Hawaii,1981,7,0,5,12
Idaho,1981,1,0,5,6
Illinois,1981,25695,915,4908,31518
Indiana,1981,69,7,78,154
Iowa,1981,18,1,30,49
Kansas,1981,10,1,20,31
Kentucky,1981,11,0,24,35
Louisiana,1981,5,0,9,14
Maine,1981,2,0,5,7
Maryland,1981,8,2,38,48
Massachusetts,1981,16,0,41,57
Michigan,1981,25,6,75,106
Minnesota,1981,13,1,45,59
Mississippi,1981,5,0,6,11
Missouri,1981,96,7,61,164
Montana,1981,3,0,4,7
Nebraska,1981,7,0,10,17
Nevada,1981,0,0,2,2
New Hampshire,1981,1,0,7,8
New Jersey,1981,34,3,51,88
New Mexico,1981,2,0,11,13
New York,1981,3,5,128,136
North Carolina,1981,6,0,33,39
North Dakota,1981,1,1,3,5
Ohio,1981,43,2,98,143
Oklahoma,1981,3,0,12,15
Oregon,1981,2,2,8,12
Pennsylvania,1981,19,5,68,92
Rhode Island,1981,2,0,4,6
South Carolina,1981,0,0,13,13
South Dakota,1981,0,1,5,6
Tennessee,1981,17,1,23,41
Texas,1981,13,1,47,61
Utah,1981,0,0,13,13
Vermont,1981,0,0,3,3
Virginia,1981,12,0,34,46
Washington,1981,0,1,19,20
West Virginia,1981,1,0,8,9
Wisconsin,1981,43,3,52,98
Wyoming,1981,0,0,1,1
Alabama,1980,3,0,13,16
Alaska,1980,0,0,2,2
Arizona,1980,4,0,7,11
Arkansas,1980,5,0,4,9
California,1980,2,0,101,103
Colorado,1980,7,1,1,9
Connecticut,1980,18,2,29,49
Delaware,1980,3,0,7,10
District of Columbia,1980,3,8,0,11
Florida,1980,30,2,30,62
Georgia,1980,7,0,6,13
Hawaii,1980,3,0,2,5
Idaho,1980,1,0,7,8
Illinois,1980,25615,913,4686,31214
Indiana,1980,68,2,92,162
Iowa,1980,20,1,38,59
Kansas,1980,14,2,22,38
Kentucky,1980,7,0,21,28
Louisiana,1980,2,0,8,10
Maine,1980,1,0,3,4
Maryland,1980,10,1,32,43
Massachusetts,1980,10,1,46,57
Michigan,1980,30,11,69,110
Minnesota,1980,9,1,45,55
Mississippi,1980,4,0,7,11
Missouri,1980,86,4,76,166
Montana,1980,0,0,4,4
Nebraska,1980,8,1,15,24
Nevada,1980,0,0,2,2
New Hampshire,1980,0,0,8,8
New Jersey,1980,32,4,46,82
New Mexico,1980,1,0,11,12
New York,1980,28,9,124,161
North Carolina,1980,3,0,30,33
North Dakota,1980,0,1,3,4
Ohio,1980,41,5,92,138
Oklahoma,1980,3,0,9,12
Oregon,1980,4,0,8,12
Pennsylvania,1980,23,3,86,112
Rhode Island,1980,6,0,8,14
South Carolina,1980,1,0,11,12
South Dakota,1980,1,1,11,13
Tennessee,1980,21,0,23,44
Texas,1980,16,1,40,57
Utah,1980,0,0,11,11
Vermont,1980,0,0,4,4
Virginia,1980,16,0,36,52
Washington,1980,3,1,20,24
West Virginia,1980,2,0,6,8
Wisconsin,1980,39,4,63,106
Wyoming,1980,1,0,2,3
Alabama,1979,1,0,12,13
Alaska,1979,0,0,1,1
Arizona,1979,3,0,10,13
Arkansas,1979,8,0,5,13
California,1979,12,1,79,92
Colorado,1979,8,0,16,24
Connecticut,1979,19,1,23,43
Delaware,1979,3,0,6,9
District of Columbia,1979,2,3,0,5
Florida,1979,27,3,41,71
Georgia,1979,8,1,8,17
Hawaii,1979,2,0,6,8
Idaho,1979,2,0,7,9
Illinois,1979,25269,903,4775,30947
Indiana,1979,60,2,88,150
Iowa,1979,29,1,44,74
Kansas,1979,8,1,23,32
Kentucky,1979,11,1,16,28
Louisiana,1979,2,0,12,14
Maine,1979,1,0,4,5
Maryland,1979,6,2,18,26
Massachusetts,1979,12,2,44,58
Michigan,1979,27,9,63,99
Minnesota,1979,8,0,33,41
Mississippi,1979,3,0,2,5
Missouri,1979,78,0,63,141
Montana,1979,0,0,4,4
Nebraska,1979,6,1,14,21
Nevada,1979,0,0,1,1
New Hampshire,1979,3,0,13,16
New Jersey,1979,29,1,57,87
New Mexico,1979,3,0,10,13
New York,1979,39,8,137,184
North Carolina,1979,4,0,29,33
North Dakota,1979,1,1,7,9
Ohio,1979,36,4,103,143
Oklahoma,1979,3,0,15,18
Oregon,1979,2,0,7,9
Pennsylvania,1979,20,4,86,110
Rhode Island,1979,5,0,6,11
South Carolina,1979,1,0,12,13
South Dakota,1979,2,1,4,7
Tennessee,1979,16,0,21,37
Texas,1979,15,0,36,51
Utah,1979,2,0,11,13
Vermont,1979,4,0,4,8
Virginia,1979,28,0,28,56
Washington,1979,18,0,18,36
West Virginia,1979,5,0,5,10
Wisconsin,1979,51,6,51,108
Wyoming,1979,4,0,4,8
Alabama,1978,2,0,10,12
Alaska,1978,0,0,2,2
Arizona,1978,4,0,13,17
Arkansas,1978,6,0,5,11
California,1978,16,2,87,105
Colorado,1978,2,0,10,12
Connecticut,1978,20,1,20,41
Delaware,1978,1,1,9,11
District of Columbia,1978,5,4,0,9
Florida,1978,17,1,34,52
Georgia,1978,3,1,13,17
Hawaii,1978,5,0,12,17
Idaho,1978,0,0,2,2
Illinois,1978,24593,920,4738,30251
Indiana,1978,54,4,93,151
Iowa,1978,29,1,38,68
Kansas,1978,6,0,25,31
Kentucky,1978,12,0,18,30
Louisiana,1978,2,0,10,12
Maine,1978,0,0,7,7
Maryland,1978,5,1,29,35
Massachusetts,1978,16,2,47,65
Michigan,1978,20,5,55,80
Minnesota,1978,9,0,36,45
Mississippi,1978,6,0,6,12
Missouri,1978,66,4,67,137
Montana,1978,0,0,4,4
Nebraska,1978,12,1,13,26
Nevada,1978,0,0,2,2
New Hampshire,1978,1,0,12,13
New Jersey,1978,36,3,43,82
New Mexico,1978,5,0,14,19
New York,1978,41,6,164,211
North Carolina,1978,3,0,29,32
North Dakota,1978,1,1,8,10
Ohio,1978,41,2,107,150
Oklahoma,1978,2,1,11,14
Oregon,1978,2,1,8,11
Pennsylvania,1978,29,2,92,123
Rhode Island,1978,3,0,5,8
South Carolina,1978,4,0,6,10
South Dakota,1978,0,0,3,3
Tennessee,1978,10,0,21,31
Texas,1978,11,1,46,58
Utah,1978,0,0,10,10
Vermont,1978,8,0,8,16
Virginia,1978,33,0,33,66
Washington,1978,28,0,28,56
West Virginia,1978,1,0,1,2
Wisconsin,1978,56,5,56,117
Wyoming,1978,5,0,5,10
Alabama,1977,3,0,20,23
Alaska,1977,1,0,1,2
Arizona,1977,3,1,18,22
Arkansas,1977,6,0,11,17
California,1977,14,0,104,118
Colorado,1977,5,0,12,17
Connecticut,1977,21,3,31,55
Delaware,1977,3,2,8,13
District of Columbia,1977,3,7,0,10
Florida,1977,17,3,37,57
Georgia,1977,1,1,19,21
Hawaii,1977,7,0,7,14
Idaho,1977,3,0,3,6
Illinois,1977,24557,1036,4938,30531
Indiana,1977,57,4,91,152
Iowa,1977,21,1,32,54
Kansas,1977,3,1,34,38
Kentucky,1977,12,0,21,33
Louisiana,1977,4,1,18,23
Maine,1977,1,0,8,9
Maryland,1977,6,0,28,34
Massachusetts,1977,13,0,30,43
Michigan,1977,28,2,64,94
Minnesota,1977,7,2,48,57
Mississippi,1977,2,0,12,14
Missouri,1977,63,2,59,124
Montana,1977,1,1,5,7
Nebraska,1977,11,0,15,26
Nevada,1977,1,0,4,5
New Hampshire,1977,2,0,11,13
New Jersey,1977,39,5,51,95
New Mexico,1977,2,0,17,19
New York,1977,53,6,149,208
North Carolina,1977,6,1,39,46
North Dakota,1977,1,0,6,7
Ohio,1977,50,1,111,162
Oklahoma,1977,4,0,13,17
Oregon,1977,0,1,17,18
Pennsylvania,1977,29,4,81,114
Rhode Island,1977,2,0,5,7
South Carolina,1977,2,1,8,11
South Dakota,1977,0,0,5,5
Tennessee,1977,9,0,22,31
Texas,1977,9,1,45,55
Utah,1977,0,0,8,8
Vermont,1977,1,0,8,9
Virginia,1977,20,0,32,52
Washington,1977,3,0,24,27
West Virginia,1977,3,0,4,7
Wisconsin,1977,29,1,64,94
Wyoming,1977,1,0,4,5
Alabama,1976,4,0,16,20
Alaska,1976,1,0,2,3
Arizona,1976,1,1,16,18
Arkansas,1976,4,0,9,13
California,1976,18,2,89,109
Colorado,1976,4,0,14,18
Connecticut,1976,12,1,34,47
Delaware,1976,1,1,6,8
District of Columbia,1976,3,5,0,8
Florida,1976,16,4,31,51
Georgia,1976,3,0,24,27
Hawaii,1976,7,1,7,15
Idaho,1976,1,0,5,6
Illinois,1976,24052,1032,5178,30262
Indiana,1976,70,2,90,162
Iowa,1976,14,1,34,49
Kansas,1976,3,0,20,23
Kentucky,1976,7,0,15,22
Louisiana,1976,2,1,24,27
Maine,1976,1,0,9,10
Maryland,1976,13,0,34,47
Massachusetts,1976,12,4,39,55
Michigan,1976,21,4,73,98
Minnesota,1976,6,2,38,46
Mississippi,1976,1,0,12,13
Missouri,1976,54,3,61,118
Montana,1976,0,0,2,2
Nebraska,1976,10,0,16,26
Nevada,1976,1,0,2,3
New Hampshire,1976,2,0,11,13
New Jersey,1976,36,5,47,88
New Mexico,1976,1,0,15,16
New York,1976,52,6,187,245
North Carolina,1976,4,0,33,37
North Dakota,1976,1,0,6,7
Ohio,1976,45,3,118,166
Oklahoma,1976,2,0,15,17
Oregon,1976,1,0,17,18
Pennsylvania,1976,31,3,88,122
Rhode Island,1976,1,0,7,8
South Carolina,1976,2,0,13,15
South Dakota,1976,1,0,2,3
Tennessee,1976,4,1,23,28
Texas,1976,11,0,37,48
Utah,1976,0,0,9,9
Vermont,1976,0,0,4,4
Virginia,1976,15,0,39,54
Washington,1976,5,0,14,19
West Virginia,1976,3,0,5,8
Wisconsin,1976,30,2,64,96
Wyoming,1976,1,0,0,1
Alabama,1975,3,1,17,21
Alaska,1975,0,0,2,2
Arizona,1975,3,0,10,13
Arkansas,1975,5,1,5,11
California,1975,18,2,97,117
Colorado,1975,3,2,21,26
Connecticut,1975,8,1,38,47
Delaware,1975,1,2,7,10
District of Columbia,1975,3,4,0,7
Florida,1975,14,1,31,46
Georgia,1975,3,0,23,26
Hawaii,1975,7,0,9,16
Idaho,1975,1,0,6,7
Illinois,1975,25049,1017,5582,31648
Indiana,1975,70,0,83,153
Iowa,1975,14,2,38,54
Kansas,1975,4,0,26,30
Kentucky,1975,7,0,32,39
Louisiana,1975,2,0,17,19
Maine,1975,1,0,5,6
Maryland,1975,10,1,43,54
Massachusetts,1975,12,4,46,62
Michigan,1975,15,6,58,79
Minnesota,1975,12,3,33,48
Mississippi,1975,0,0,16,16
Missouri,1975,56,2,73,131
Montana,1975,0,0,4,4
Nebraska,1975,11,0,20,31
Nevada,1975,1,0,0,1
New Hampshire,1975,2,0,9,11
New Jersey,1975,46,2,58,106
New Mexico,1975,1,0,14,15
New York,1975,55,4,218,277
North Carolina,1975,9,0,30,39
North Dakota,1975,3,0,3,6
Ohio,1975,51,5,132,188
Oklahoma,1975,5,1,12,18
Oregon,1975,3,0,18,21
Pennsylvania,1975,36,2,107,145
Rhode Island,1975,1,0,7,8
South Carolina,1975,3,1,18,22
South Dakota,1975,1,0,3,4
Tennessee,1975,8,1,33,42
Texas,1975,11,1,42,54
Utah,1975,0,0,5,5
Vermont,1975,0,0,1,1
Virginia,1975,15,0,41,56
Washington,1975,3,0,24,27
West Virginia,1975,2,0,10,12
Wisconsin,1975,30,3,73,106
Wyoming,1975,0,0,1,1
