State,Year,Undergrad,Professional,Grad,Total
Utah,1998,3,3,39,45
Vermont,1998,3,0,5,8
Virginia,1998,101,7,56,164
Washington,1998,8,4,36,48
West Virginia,1998,7,0,9,16
Wisconsin,1998,72,5,84,161
Wyoming,1998,0,1,5,6
Alabama,1997,14,1,22,37
Alaska,1997,6,0,8,14
Arizona,1997,10,4,18,32
Arkansas,1997,15,2,14,31
California,1997,113,27,206,346
Colorado,1997,33,1,37,71
Connecticut,1997,32,2,29,63
Delaware,1997,3,0,7,10
District of Columbia,1997,4,6,1,11
Florida,1997,48,3,59,110
Georgia,1997,26,1,37,64
Hawaii,1997,53,0,5,58
Idaho,1997,2,0,8,10
Illinois,1997,24292,762,3414,28468
Indiana,1997,79,10,92,181
Iowa,1997,44,2,61,107
Kansas,1997,31,1,19,51
Kentucky,1997,37,5,22,64
Louisiana,1997,17,0,17,34
Maine,1997,7,2,8,17
Maryland,1997,76,4,44,124
Massachusetts,1997,40,7,41,88
Michigan,1997,55,18,110,183
Minnesota,1997,46,2,59,107
Mississippi,1997,7,1,11,19
Missouri,1997,280,15,96,391
Montana,1997,3,0,9,12
Nebraska,1997,35,1,19,55
Nevada,1997,10,0,6,16
New Hampshire,1997,8,0,8,16
New Jersey,1997,106,8,58,172
New Mexico,1997,12,1,27,40
New York,1997,124,13,137,274
North Carolina,1997,19,3,45,67
North Dakota,1997,0,0,8,8
Ohio,1997,217,14,120,351
Oklahoma,1997,15,0,29,44
Oregon,1997,12,0,30,42
Pennsylvania,1997,58,6,78,142
Rhode Island,1997,6,1,7,14
South Carolina,1997,17,2,16,35
South Dakota,1997,5,1,7,13
Tennessee,1997,52,2,41,95
Texas,1997,44,7,100,151
Utah,1997,6,2,26,34
Vermont,1997,4,0,6,10
Virginia,1997,90,4,60,154
Washington,1997,7,5,40,52
West Virginia,1997,9,0,11,20
Wisconsin,1997,73,5,81,159
Wyoming,1997,0,1,4,5
Alabama,1996,14,0,24,38
Alaska,1996,5,0,10,15
Arizona,1996,14,3,18,35
Arkansas,1996,10,0,11,21
California,1996,116,28,168,312
Colorado,1996,31,2,30,63
Connecticut,1996,30,1,29,60
Delaware,1996,7,0,9,16
District of Columbia,1996,2,3,0,5
Florida,1996,52,3,60,115
Georgia,1996,31,0,26,57
Hawaii,1996,40,0,7,47
Idaho,1996,3,0,9,12
Illinois,1996,24231,773,3917,28921
Indiana,1996,78,10,96,184
Iowa,1996,36,1,55,92
Kansas,1996,27,0,15,42
Kentucky,1996,32,5,17,54
Louisiana,1996,12,0,20,32
Maine,1996,1,2,12,15
Maryland,1996,77,5,46,128
Massachusetts,1996,41,7,42,90
Michigan,1996,61,19,111,191
Minnesota,1996,4,0,54,58
Mississippi,1996,6,1,10,17
Missouri,1996,276,13,81,370
Montana,1996,2,0,5,7
Nebraska,1996,30,2,19,51
Nevada,1996,6,0,7,13
New Hampshire,1996,7,0,10,17
New Jersey,1996,123,9,53,185
New Mexico,1996,12,1,27,40
New York,1996,127,12,131,270
North Carolina,1996,22,2,39,63
North Dakota,1996,3,0,9,12
Ohio,1996,200,10,106,316
Oklahoma,1996,18,0,24,42
Oregon,1996,12,0,33,45
Pennsylvania,1996,67,4,75,146
Rhode Island,1996,6,2,5,13
South Carolina,1996,15,0,15,30
South Dakota,1996,2,0,6,8
Tennessee,1996,51,1,40,92
Texas,1996,45,5,92,142
Utah,1996,5,0,19,24
Vermont,1996,5,0,9,14
Virginia,1996,82,5,63,150
Washington,1996,14,3,32,49
West Virginia,1996,9,0,14,23
Wisconsin,1996,84,6,79,169
Wyoming,1996,1,0,1,2
Alabama,1995,12,0,20,32
Alaska,1995,6,0,15,21
Arizona,1995,17,1,24,42
Arkansas,1995,6,0,12,18
California,1995,102,14,133,249
Colorado,1995,33,0,25,58
Connecticut,1995,33,0,24,57
Delaware,1995,8,0,9,17
District of Columbia,1995,5,3,0,8
Florida,1995,48,2,50,100
Georgia,1995,29,2,30,61
Hawaii,1995,26,0,8,34
Idaho,1995,2,0,11,13
Illinois,1995,24408,845,4484,29737
Indiana,1995,68,5,79,152
Iowa,1995,35,0,45,80
Kansas,1995,29,0,17,46
Kentucky,1995,32,5,17,54
Louisiana,1995,11,0,19,30
Maine,1995,3,0,7,10
Maryland,1995,73,1,36,110
Massachusetts,1995,44,0,32,76
Michigan,1995,58,10,95,163
Minnesota,1995,33,1,55,89
Mississippi,1995,7,0,6,13
Missouri,1995,232,8,76,316
Montana,1995,4,0,3,7
Nebraska,1995,21,1,19,41
Nevada,1995,7,0,4,11
New Hampshire,1995,7,0,10,17
New Jersey,1995,109,2,49,160
New Mexico,1995,4,0,21,25
New York,1995,124,12,107,243
North Carolina,1995,29,0,36,65
North Dakota,1995,3,0,7,10
Ohio,1995,174,1,109,284
Oklahoma,1995,15,0,13,28
Oregon,1995,11,1,28,40
Pennsylvania,1995,66,0,77,143
Rhode Island,1995,3,1,3,7
South Carolina,1995,7,0,1,8
South Dakota,1995,1,0,6,7
Tennessee,1995,44,1,31,76
Texas,1995,44,2,63,109
Utah,1995,2,1,11,14
Vermont,1995,1,0,8,9
Virginia,1995,75,2,58,135
Washington,1995,14,0,25,39
West Virginia,1995,5,0,6,11
Wisconsin,1995,74,5,75,154
Wyoming,1995,2,0,2,4
Alabama,1994,8,0,12,20
Alaska,1994,3,0,7,10
Arizona,1994,17,1,14,32
Arkansas,1994,4,0,,4
California,1994,82,14,108,204
Colorado,1994,34,0,22,56
Connecticut,1994,27,0,16,43
Delaware,1994,7,0,4,11
District of Columbia,1994,4,2,0,6
Florida,1994,44,2,33,79
Georgia,1994,27,2,15,44
Hawaii,1994,16,0,6,22
Idaho,1994,0,0,7,7
Illinois,1994,24308,845,4927,30080
Indiana,1994,85,5,59,149
Iowa,1994,31,0,31,62
Kansas,1994,26,0,9,35
Kentucky,1994,34,5,13,52
Louisiana,1994,12,0,20,32
Maine,1994,1,0,7,8
Maryland,1994,57,1,37,95
Massachusetts,1994,36,0,25,61
Michigan,1994,57,10,76,143
Minnesota,1994,30,1,39,70
Mississippi,1994,8,0,7,15
Missouri,1994,227,8,69,304
Montana,1994,4,0,3,7
Nebraska,1994,12,1,12,25
Nevada,1994,6,0,3,9
New Hampshire,1994,6,0,7,13
New Jersey,1994,107,2,47,156
New Mexico,1994,3,0,24,27
New York,1994,107,12,83,202
North Carolina,1994,30,0,31,61
North Dakota,1994,2,0,6,8
Ohio,1994,140,1,83,224
Oklahoma,1994,14,0,9,23
Oregon,1994,6,1,16,23
Pennsylvania,1994,61,0,58,119
Rhode Island,1994,4,1,3,8
South Carolina,1994,9,0,11,20
South Dakota,1994,0,0,6,6
Tennessee,1994,37,1,19,57
Texas,1994,37,2,56,95
Utah,1994,1,1,2,4
Vermont,1994,1,0,6,7
Virginia,1994,48,2,41,91
Washington,1994,11,0,12,23
West Virginia,1994,3,0,3,6
Wisconsin,1994,66,5,56,127
Wyoming,1994,1,0,2,3
Alabama,1993,10,0,10,20
Alaska,1993,1,0,4,5
Arizona,1993,13,1,15,29
Arkansas,1993,5,1,7,13
California,1993,89,14,114,217
Colorado,1993,32,0,24,56
Connecticut,1993,32,1,20,53
Delaware,1993,9,1,2,12
District of Columbia,1993,2,4,0,6
Florida,1993,50,2,35,87
Georgia,1993,29,2,21,52
Hawaii,1993,11,0,6,17
Idaho,1993,1,0,5,6
Illinois,1993,24371,842,5086,30299
Indiana,1993,70,4,67,141
Iowa,1993,28,0,42,70
Kansas,1993,23,1,12,36
