CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
40513,MACS,371,Editing and Post-production,ONL,ONL,120245,"Font Bas, Victor",7,10,3,0,1,0,1,0,0,0,1,0,1,1,3.56
38309,MATH,241,Calculus III,ONL,ONL,120245,"Klajbor-Goderic, Stefanie",13,6,12,11,13,6,5,11,6,4,4,2,3,3,2.77
41270,MATH,257,Linear Algebra w Computat Appl,ONL,ONL,120245,"Nawaz, Tayyab",7,21,9,12,9,2,4,7,0,2,1,0,1,0,3.26
41676,MATH,257,Linear Algebra w Computat Appl,ONM,ONL,120245,"Nawaz, Tayyab",2,17,12,11,9,4,6,2,2,0,2,0,1,1,3.2
38310,MATH,285,Intro Differential Equations,ONL,ONL,120245,"Manfroi, Aldo J",12,17,6,5,3,6,2,5,4,0,0,2,6,1,2.98
37097,MATH,347,Fundamental Mathematics,ONL,ONL,120245,"Spinoza, Hannah R",3,19,9,4,4,5,1,0,0,0,0,0,1,1,3.52
39528,MATH,416,Abstract Linear Algebra,ONL,ONL,120245,"Palmer, Joseph A",5,3,3,5,1,3,1,1,1,0,2,0,2,1,2.91
39529,MATH,441,Differential Equations,ONL,ONL,120245,"DeVille, Lee X",4,6,2,4,4,1,0,0,0,2,1,0,1,0,3.16
40554,MBA,542,Digital Marketing Analytics,IMB,ONL,120245,"Khandelwal, Ashish",317,24,19,7,3,1,0,1,1,0,0,0,1,0,3.94
41907,MBA,547,Global Marketing,IMB,ONL,120245,"Torelli, Carlos J",36,306,37,11,3,5,0,0,3,0,0,0,0,0,3.91
40558,MBA,552,Fostering Creative Thinking,IMB,ONL,120245,"Loewenstein, Jeffrey",133,234,130,82,47,10,5,7,0,0,0,0,4,0,3.7
40542,MBA,565,Infonomics,IMB,ONL,120245,"Laney, Douglas B",40,71,40,22,5,1,2,0,2,0,0,0,0,1,3.77
36346,MCB,150,Molec & Cellular Basis of Life,ONL,ONL,120245,"Levesque, Lyne",15,36,23,12,3,2,2,1,0,0,0,0,0,1,3.72
39658,MCB,252,"Cells, Tissues & Development",ONL,ONL,120245,"Rivier, David H",7,4,2,2,5,2,5,1,2,4,2,1,2,0,2.65
40304,MCB,317,Genetics and Genomics,ONL,ONL,120245,"Rivier, David H",0,12,0,4,8,0,1,7,0,1,1,0,1,1,2.97
