CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
40118,ECE,310,Digital Signal Processing,ONL,ONL,120245,"Radhakrishnan, Chandrasek",1,11,8,5,11,3,2,0,0,0,0,0,0,0,3.41
40119,ECE,313,Probability with Engrg Applic,ONL,ONL,120245,"Alvarez, Juan",5,6,4,13,13,13,5,5,5,0,1,0,3,0,2.83
30418,ECE,385,Digital Systems Laboratory,AL1,OLC,120245,"Cheng, Zuofu",10,11,2,3,8,1,0,2,3,0,0,0,2,0,3.26
42206,ECE,408,Applied Parallel Programming,AL1,OLC,120245,"Lumetta, Steven S",0,14,4,2,2,2,1,0,2,2,0,0,1,0,3.23
36304,ECON,102,Microeconomic Principles,ONL,ONL,120245,"DiIanni, Isaac",34,29,13,12,7,1,2,1,2,0,0,0,0,0,3.7
37312,ECON,103,Macroeconomic Principles,ONL,ONL,120245,"Vazquez, Jose J",3,10,7,9,11,2,5,3,0,0,2,2,5,0,2.83
37858,ECON,203,Economic Statistics II,ONL,ONL,120245,"Cunha Medeiros, Marcelo",1,3,7,9,5,2,2,2,2,5,1,2,2,1,2.63
38740,ECON,302,Inter Microeconomic Theory,ONL,ONL,120245,"Buckley, Bryan D",8,4,8,5,6,4,2,4,1,1,1,2,7,1,2.65
38741,ECON,303,Inter Macroeconomic Theory,A3,ONL,120245,"Vazquez, Jose J",8,8,10,8,7,2,4,1,0,1,1,0,2,3,3.22
40192,ECON,415,Environmental Economics,A3,ONL,120245,"Buckley, Bryan D",4,7,6,4,5,4,1,4,0,2,0,1,2,0,3
40226,ECON,420,International Economics,ONL,ONL,120245,"Dziuba, Pavlo V",4,7,1,4,5,3,2,2,7,0,0,1,1,0,2.84
41626,ENG,572,Professional Practicum,CS,DIS,120245,"Kudaligama, Viveka P",27,2,5,0,1,2,0,0,0,0,0,0,0,0,3.86
41237,EPOL,403,Historical and Social Barriers,A,ONL,120245,"Hale, Jon N",0,33,3,1,1,0,0,0,0,0,0,0,2,0,3.73
