Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
CPSC,352,33507,Plant Genetics,A,LEC,120238,2,0,4,2,5,3,2,1,2,3,2,1,3,0,2.3,"Studer, Anthony J"
CPSC,415,55735,Bioenergy Crops,ONL,ONL,120238,0,20,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Lee, DoKyoung"
CPSC,419,58725,Midwest Agricultural Practices,B,LCD,120238,12,9,4,2,0,0,0,0,0,0,0,0,0,0,3.9,"Juvik, John A"
CPSC,440,33573,Applied Statistical Methods I,AL1,LEC,120238,14,27,17,9,12,8,3,4,3,0,2,0,1,0,3.36,"Lipka, Alexander E"
CPSC,498,49502,Crop Sci Professional Develpmt,A,ONL,120238,0,28,0,0,6,0,0,3,0,0,0,0,0,0,3.68,"Juvik, John A"
CPSC,499,78622,Advanced Special Topics,DER,LCD,120238,0,16,0,1,3,0,0,2,0,0,0,0,0,0,3.65,"Riechers, Dean E"
CS,100,30094,Computer Science Orientation,AL1,LEC,120238,0,308,11,6,9,1,1,2,3,1,0,1,4,1,3.85,"Fleck, Margaret M"
CS,101,35879,Intro Computing: Engrg & Sci,AL1,LCD,120238,117,142,34,16,18,11,3,6,4,2,1,4,14,0,3.57,"Beckman, Mattox A"
CS,105,35823,Intro Computing: Non-Tech,AL1,LEC,120238,20,147,54,36,39,27,26,26,10,8,8,5,16,5,3.14,"Zilles, Craig"
CS,124,74477,Intro to Computer Science I,AL1,OLC,120238,0,775,104,54,39,15,12,17,0,0,24,0,22,2,3.68,"Challen, Geoffrey W"
CS,128,74478,Intro to Computer Science II,AL1,OLC,120238,0,358,35,34,34,15,22,17,13,0,17,0,33,9,3.36,"Nowak, Michael"
CS,173,30102,Discrete Structures,AL1,LEC,120238,19,72,32,26,32,21,6,14,4,10,1,1,7,2,3.2,"Delgosha, Payam"
