Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ADV,150,10104,Introduction to Advertising,A,ONL,120240,22,18,1,0,1,0,0,0,0,0,0,0,0,0,3.97,"Hall, Steven R"
AFRO,100,10135,Intro to African American St,A,ONL,120240,5,8,6,1,1,1,0,1,1,0,0,0,1,0,3.47,"McMillion, Desiree Y"
ASTR,330,10064,Extraterrestrial Life,ONL,ONL,120240,1,16,8,5,2,1,1,0,2,0,1,0,0,0,3.5,"Dunne, Bryan C"
ATMS,120,10002,Severe and Hazardous Weather,ONL,ONL,120240,3,16,3,2,12,0,2,2,1,1,1,1,2,0,3.11,"Choate, Jessica J"
BADM,275,10121,Operations Management,OL,ONL,120240,0,49,17,5,5,0,2,3,0,0,0,0,0,0,3.71,"Hu, Junqi"
BADM,300,10013,The Legal Environment of Bus,OL,ONL,120240,72,75,17,11,0,1,1,1,0,0,0,0,1,0,3.88,"Wright, Margaret"
BADM,310,10014,Mgmt and Organizational Beh,OL,ONL,120240,19,98,10,3,1,0,0,2,0,0,0,0,1,0,3.89,"Ji, Mingshuang"
BADM,320,10056,Principles of Marketing,OL,ONL,120240,28,54,7,4,8,2,3,0,0,0,0,0,0,0,3.81,"Liu, Yunchuan"
BADM,350,10015,IT for Networked Organizations,OL,ONL,120240,0,17,0,1,1,0,1,1,0,0,0,0,0,0,3.75,"Sachdev, Vishal"
BADM,380,10017,International Business,OL,ONL,120240,5,21,4,3,0,1,0,1,1,0,0,0,1,0,3.65,"Bucheli, Marcelo"
CLCV,115,10083,Mythology of Greece and Rome,A,ONL,120240,4,5,3,2,2,3,3,0,0,0,0,0,1,0,3.25,"Jennings, Elisa T"
ECON,102,10019,Microeconomic Principles,ONL,ONL,120240,53,42,23,6,4,3,1,2,0,0,0,0,0,0,3.81,"DiIanni, Isaac"
ECON,103,10020,Macroeconomic Principles,ONL,ONL,120240,5,21,15,11,11,3,1,1,1,0,2,0,1,0,3.4,"Vazquez, Jose J"
ECON,202,10051,Economic Statistics I,ONL,ONL,120240,1,2,0,1,1,3,0,5,0,0,6,0,3,2,1.92,"Schultz, Colleen"
ESE,360,10076,Environmental Writing,A,ONL,120240,0,4,4,3,3,2,1,1,0,0,0,0,3,0,2.83,"Tomkin, Jonathan H"
GGIS,204,10122,Cities of the World,ONL,ONL,120240,5,9,2,2,2,0,1,0,0,0,0,0,0,1,3.73,"Pierce, Colt A"
GLBL,100,10054,Intro to Global Studies,CF,ONL,120240,5,7,3,2,3,1,0,0,0,0,0,0,0,0,3.68,"Schrag, David M"
IHLT,232,10129,Health Equity in the U.S.,ONL,ONL,120240,20,11,3,0,0,1,0,1,2,0,0,1,1,0,3.59,"Quintero Silva, Laura M"
MACS,356,10011,Sex & Gender in Popular Media,A,ONL,120240,0,22,0,0,4,0,0,2,0,0,0,0,1,2,3.59,"Robinson, Jessica L"
MUS,132,10055,Popular Music Studies,A,ONL,120240,137,59,22,11,4,6,2,2,3,0,1,0,3,1,3.78,"Eagen-Jones, Megan K"
MUS,133,10097,Introduction to World Music,A,ONL,120240,147,6,1,0,0,0,2,1,0,0,0,0,2,0,3.91,"Silvers, Michael B"
PS,241,10066,Comp Politics in Dev Nations,A,ONL,120240,5,4,3,1,2,0,1,2,0,1,3,0,0,0,3.05,"Shen, Shuyuan"
PSYC,100,10034,Intro Psych,A,ONL,120240,0,10,9,9,21,6,8,6,0,1,0,0,2,1,2.97,"Shenouda, Christine K"
PSYC,204,10060,Intro to Brain and Cognition,A,ONL,120240,5,24,9,2,3,7,2,3,0,0,0,1,0,1,3.48,"Dolcos, Sanda M"
PSYC,230,10061,Perception & Sensory Processes,A,ONL,120240,8,2,1,4,3,1,1,0,0,0,1,0,0,0,3.43,"Lleras Buetti, Simona"
REHB,330,10087,Disability in American Society,LR1,ONL,120240,5,6,2,5,2,0,1,0,0,0,0,0,0,0,3.63,"Rice, Laura A"
REL,110,10106,World Religions,AL1,ONL,120240,0,54,14,8,9,3,0,3,0,1,3,1,2,0,3.47,"Layton, Richard A"
RST,100,10041,RST in Modern Society,ONL,ONL,120240,0,31,0,0,2,0,0,0,0,0,0,0,0,0,3.94,"Hill, Patrick J"
SOC,100,10018,Introduction to Sociology,ONL,OLC,120240,0,46,2,6,0,0,0,0,0,0,1,0,0,0,3.86,"Miles, Brittney S"
SOC,101,10048,Sociology of Gender,1,OLC,120240,11,4,3,2,2,0,0,0,0,0,0,1,0,0,3.67,"Moussawi, Ghassan"
SPAN,130,10039,Intermediate Spanish,A,ONL,120240,6,14,3,1,0,2,1,1,0,0,0,0,1,1,3.59,"Abbott, Annie R"
SPAN,142,10040,Spanish in the Professions,A,ONL,120240,10,7,2,3,2,1,0,1,0,0,1,0,1,0,3.46,"Krushnowski, Jude P"
