Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
CHEM,232,33499,Elementary Organic Chemistry I,6,6,1,5,22,6,5,16,4,6,7,2,2,6,2.47,"Kell, David A"
CHEM,233,30836,Elementary Organic Chem Lab I,6,12,4,5,1,2,0,1,0,0,0,0,0,0,3.67,"Kell, David A"
CHEM,332,30838,Elementary Organic Chem II,3,1,1,2,4,4,2,4,5,1,3,2,0,0,2.37,"Koerner, Michael"
CHLH,100,36278,Contemporary Health,5,9,8,4,6,4,0,0,0,0,0,1,1,0,3.37,"Trask, Jeffrey T"
CHLH,101,38368,Introduction to Public Health,7,13,5,6,10,0,2,4,0,2,0,0,0,0,3.34,"Kaplan, Justine"
CHLH,206,36274,Human Sexuality,0,16,5,5,7,2,0,2,1,1,1,0,2,0,3.17,"Rinaldi-Miles, Anna I"
CHLH,243,36276,Drug Use and Abuse,29,18,6,3,4,0,0,1,1,1,2,0,0,0,3.68,"Kersh, Renique"
CHLH,274,39228,Introduction to Epidemiology,3,6,5,5,2,2,3,0,3,1,0,0,0,0,3.19,"Rosenblatt, Karin A"
CI,446,37901,Culture in the Classroom,14,12,3,1,0,1,0,0,0,0,0,0,0,0,3.9,"Bauer, Eurydice"
CLCV,115,30861,Mythology of Greece and Rome,15,9,0,2,1,1,0,1,0,0,0,0,0,0,3.8,"Cantwell, Katherine P"
CLCV,115,39085,Mythology of Greece and Rome,2,6,3,2,6,0,3,0,1,0,1,0,1,0,3.09,"Gipson, Christopher L"
CMN,336,37340,Family Communication,0,3,3,0,2,1,2,2,1,1,0,1,5,1,2.1,"Moga, Jillian L"
CS,199,39380,Elements of Game Design,27,11,4,1,0,1,1,0,1,0,0,1,0,0,3.77,"Angrave, Lawrence C"
CS,412,38746,Introduction to Data Mining,6,23,10,8,6,4,9,3,0,0,1,0,0,2,3.39,"Jiang, Meng"
CS,421,30792,Progrmg Languages & Compilers,5,22,7,4,7,5,2,3,3,0,4,0,4,1,3.06,"Beckman, A M"
CS,461,39307,Computer Security I,5,6,2,5,1,3,0,0,0,0,0,0,0,0,3.59,"Cunningham, Ryan M"
CS,498,39213,Data Visualiztion,70,30,7,7,9,1,0,1,0,0,1,0,1,1,3.79,"Hart, John C"
CS,598,39250,Data Cleaning,50,5,5,0,1,0,0,0,0,0,0,0,0,1,3.96,"Ludaescher, Bertram"
DANC,100,36010,Intro to Contemporary Dance,34,11,1,2,5,1,0,2,0,0,0,0,2,0,3.66,"Maybee, Charles M"
ECE,205,30390,Elec & Electronic Circuits,7,5,4,2,7,1,0,1,0,0,0,0,0,0,3.52,"Cheng, Zuofu"
ECE,210,30413,Analog Signal Processing,5,11,5,4,5,1,1,1,2,0,0,0,0,0,3.46,"Chen, Yuting W"
ECE,220,38472,Computer Systems & Programming,4,4,1,1,3,3,2,3,0,1,2,2,3,0,2.46,"Kindratenko, Volodymyr"
ECE,220,38727,Computer Systems & Programming,4,3,6,3,3,3,1,1,1,1,4,1,2,0,2.7,"Kindratenko, Volodymyr"
ECE,310,36226,Digital Signal Processing,6,8,4,6,4,3,1,0,0,0,1,1,1,0,3.28,"Radhakrishnan, Chandrasek"
ECE,313,33752,Probability with Engrg Applic,4,3,2,3,4,6,0,2,0,0,2,0,0,0,3.05,"Alvarez, Juan"
ECE,330,37918,Power Ckts & Electromechanics,0,5,0,0,8,0,0,6,0,0,3,0,4,0,2.27,"Sowidan, Hassan"
ECE,340,36228,Semiconductor Electronics,1,2,0,4,6,3,4,3,2,0,1,1,2,0,2.47,"Leburton, Jean-Pierre"
ECE,342,36229,Electronic Circuits,2,2,6,4,2,2,1,0,1,0,2,0,1,0,2.99,"Radhakrishnan, Chandrasek"
ECE,343,36231,Electronic Circuits Laboratory,4,15,1,1,0,0,0,0,0,0,0,0,0,0,3.95,"Radhakrishnan, Chandrasek"
ECON,102,36304,Microeconomic Principles,8,23,16,30,15,6,2,4,1,0,0,0,6,0,3.22,"Vazquez, Jose J"
