CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
74560,ABE,341,Transport Processes in ABE,KDR,LEC,120251,"Rausch, Kent D",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39997,ABE,425,Engrg Measurement Systems,AE1,LCD,120251,"Grift, Tony E",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73822,ABE,436,Renewable Energy Systems,ZJ1,LEC,120251,"Wang, Xinlei",,,,,1,1,0,5,4,6,2,3,3,0,2,0,0,0,2.61
51989,ABE,457,NPS Pollution Processes,RBH,LCD,120251,"Bhattarai, Rabin",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62504,ABE,458,NPS Pollution Modeling,MCC,LAB,120251,"Chu, Maria Librada",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70549,ABE,469,Capstone Design Experience,APW,LCD,120251,"Witmer, Ann-Perry",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74549,ABE,483,Engr Props Food Materials,AL1,LEC,120251,"Kamruzzaman, Mohammed",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75684,ABE,498,Data & Uncertainty Analysis,JG1,ONL,120251,"Guzman Jaimes, Jorge Albe",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76008,ABE,498,SAF & COMM IMP OF A.I. IN AG,SFI,OLC,120251,"Issa, Salah F",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69694,ABE,498,Special Topics,XW3,LCD,120251,"Wang, Xinlei",,,,,26,8,0,2,1,0,0,0,0,0,0,0,0,0,3.94
77151,ABE,502,Grad Sem: Adv Career Skills,AE1,LCD,120251,"Rausch, Kent D",,,,,0,29,0,0,7,0,0,0,0,0,0,0,0,0,3.81
56973,ACCY,200,Fundamentals of Accounting,BM,ONL,120251,"Zhang, Li",,,,,67,69,27,15,13,2,1,1,1,0,0,0,1,0,3.77
45418,ACCY,200,Fundamentals of Accounting,OL,ONL,120251,"Green, Danielle H",,,,,163,79,25,12,7,7,2,0,1,0,0,0,1,0,3.86
30111,ACCY,200,Fundamentals of Accounting,TM,LCD,120251,"Zhang, Li",,,,,10,13,3,0,5,3,0,0,1,0,0,1,1,0,3.47
30118,ACCY,201,Accounting and Accountancy I,AL1,LEC,120251,"Fisher, Mitchell B",,,,,77,45,18,13,9,4,6,12,4,1,4,0,0,1,3.55
68539,ACCY,201,Accounting and Accountancy I,AL2,LEC,120251,"Fisher, Mitchell B",,,,,74,43,19,9,9,7,12,12,7,3,6,0,0,3,3.42
51202,ACCY,201,Accounting and Accountancy I,AL3,LEC,120251,"Fisher, Mitchell B",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30119,ACCY,202,Accounting and Accountancy II,AL1,LEC,120251,"Shapland, Julia P",,,,,37,50,32,26,24,9,8,12,5,0,3,0,0,1,3.41
30120,ACCY,202,Accounting and Accountancy II,AL2,LEC,120251,"Shapland, Julia P",,,,,20,35,17,17,33,15,11,14,2,0,1,0,0,2,3.25
69229,ACCY,202,Accounting and Accountancy II,AL3,LEC,120251,"Shapland, Julia P",,,,,9,5,0,3,3,1,1,0,0,0,1,0,0,0,3.52
30192,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120251,"Pieper, Lena",,,,,8,5,5,6,6,1,2,0,0,0,0,0,0,0,3.5
30197,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120251,"Johnson, Jennifer A",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30200,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120251,"Steward, Cynthia G",,,,,9,8,1,4,4,1,5,1,0,0,1,0,1,0,3.27
30201,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120251,"Pieper, Lena",,,,,7,8,3,5,5,2,1,0,0,0,1,0,0,0,3.48
30203,ACCY,301,Atg Measurement & Disclosure,AE6,LCD,120251,"Steward, Cynthia G",,,,,8,5,6,3,2,1,1,0,2,0,0,2,0,0,3.32
50319,ACCY,301,Atg Measurement & Disclosure,AE7,LCD,120251,"Pieper, Lena",,,,,3,4,3,7,2,2,3,2,1,1,0,1,0,0,3.05
60043,ACCY,302,Decision Making for Atg,AE1,LCD,120251,"Sani, Jalal",,,,,13,8,6,4,0,0,1,0,0,0,0,0,0,0,3.8
30211,ACCY,302,Decision Making for Atg,AE2,LCD,120251,"Sani, Jalal",,,,,7,7,3,6,5,1,1,0,0,0,1,0,0,0,3.48
30212,ACCY,302,Decision Making for Atg,AE3,LCD,120251,"Curtis, Susan M",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
