Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
AAS,100,41758,Intro Asian American Studies,AD1,DIS,120228,0,11,3,3,4,0,0,0,0,0,0,0,0,0,3.67,"Zheng, Reanne"
AAS,100,47100,Intro Asian American Studies,AD2,DIS,120228,0,12,5,3,1,1,0,1,0,0,0,0,1,0,3.5,"Zheng, Reanne"
AAS,100,47102,Intro Asian American Studies,AD3,DIS,120228,0,19,5,0,0,1,0,0,0,0,0,0,0,0,3.88,"Shin, Jeongsu"
AAS,100,51248,Intro Asian American Studies,AD4,DIS,120228,2,15,3,2,0,0,0,0,0,0,0,0,1,0,3.72,"Lee, Sabrina Y"
AAS,100,51249,Intro Asian American Studies,AD5,DIS,120228,0,19,1,2,1,0,0,0,0,0,0,0,1,0,3.72,"Shin, Jeongsu"
AAS,100,59819,Intro Asian American Studies,AD8,DIS,120228,17,4,0,0,0,0,0,0,0,0,0,0,2,1,3.65,"Mukhopadhyay, Anirban"
AAS,100,59820,Intro Asian American Studies,AD9,DIS,120228,0,14,2,5,0,1,1,0,0,0,0,0,1,0,3.54,"Wang, Yu"
AAS,100,59821,Intro Asian American Studies,ADA,DIS,120228,0,18,6,1,0,0,0,0,0,0,0,0,0,0,3.89,"Wang, Yu"
AAS,200,67473,U.S. Race and Empire,C,LCD,120228,3,10,6,2,5,5,0,0,1,0,1,1,0,0,3.31,"Yan-Gonzalez, Vivian"
AAS,246,66200,Asian American Youth in Film,A,LCD,120228,1,26,2,1,2,1,0,0,0,0,0,0,0,0,3.86,"Kwon, Soo Ah"
ABE,100,72060,Intro Agric & Biological Engrg,AGM,LEC,120228,0,29,3,1,0,0,0,0,0,1,0,0,0,0,3.87,"Bhattarai, Rabin"
ABE,232,75460,Context Intl Interventions,APW,LCD,120228,13,9,5,4,2,2,3,2,0,0,0,0,1,1,3.46,"Witmer, Ann-Perry"
ABE,430,64779,Project Management,AL1,OLC,120228,3,85,0,0,3,0,0,2,0,0,0,0,0,1,3.92,"Davidson, Paul C"
ABE,488,57478,Bioprocessing Biomass for Fuel,VS,LEC,120228,0,8,6,7,10,2,1,2,0,0,0,0,0,0,3.31,"Singh, Vijay"
ABE,498,72232,Eng Design for Solar SmartHome,XW1,LCD,120228,1,16,5,1,0,0,0,0,0,0,0,0,0,0,3.9,"Wang, Xinlei"
ACCY,200,39539,Fundamentals of Accounting,B,ONL,120228,35,69,31,21,22,2,5,5,0,0,0,0,0,0,3.65,"Zhang, Li"
ACCY,200,29670,Fundamentals of Accounting,OL,ONL,120228,17,78,39,25,20,30,16,10,6,2,1,1,2,1,3.31,"Silhan, Peter A"
ACCY,201,36474,Accounting and Accountancy I,AL1,LEC,120228,36,52,43,23,24,17,12,6,13,4,3,6,6,1,3.17,"Fisher, Mitchell B"
ACCY,201,36477,Accounting and Accountancy I,AL2,LEC,120228,24,55,31,23,23,17,9,14,15,2,7,9,7,4,3.01,"Fisher, Mitchell B"
ACCY,201,71428,Accounting and Accountancy I,AL3,LEC,120228,8,7,2,1,2,1,0,1,0,0,1,0,0,0,3.58,"Fisher, Mitchell B"
ACCY,202,36549,Accounting and Accountancy II,AL1,LEC,120228,31,59,20,31,47,16,12,13,11,0,1,0,0,3,3.29,"Shapland, Julia P"
ACCY,202,71328,Accounting and Accountancy II,AL2,LCD,120228,12,19,2,1,1,1,0,0,0,0,0,0,1,0,3.79,"Shapland, Julia P"
ACCY,301,36581,Atg Measurement & Disclosure,AE2,LCD,120228,2,3,3,8,4,3,0,1,0,0,1,1,0,0,3.13,"Ibrahim, Adel Nematallah"
ACCY,301,36584,Atg Measurement & Disclosure,AE3,LCD,120228,9,4,3,4,2,1,3,0,1,1,0,0,0,0,3.39,"Anderson, Spencer B"
ACCY,301,36590,Atg Measurement & Disclosure,AE5,LCD,120228,3,8,4,5,3,0,1,1,0,0,0,0,0,0,3.55,"Johnson, Jennifer A"
ACCY,301,36592,Atg Measurement & Disclosure,AE6,LCD,120228,4,4,5,4,2,2,2,0,0,0,0,0,0,0,3.46,"Anderson, Spencer B"
ACCY,301,36598,Atg Measurement & Disclosure,AE8,LCD,120228,3,3,3,3,2,3,5,0,1,0,0,0,0,1,3.14,"Anderson, Spencer B"
ACCY,301,49255,Atg Measurement & Disclosure,AEB,LCD,120228,6,5,5,2,2,0,3,0,1,0,0,0,0,0,3.49,"Johnson, Jennifer A"
ACCY,302,36614,Decision Making for Atg,AE2,LCD,120228,4,6,3,3,4,4,1,1,0,0,0,0,0,0,3.39,"Samet, Jordan A"
ACCY,302,36618,Decision Making for Atg,AE3,LCD,120228,3,4,6,3,2,2,2,3,1,0,0,0,0,0,3.22,"Curtis, Susan M"
ACCY,302,36677,Decision Making for Atg,AE4,LCD,120228,6,6,2,4,6,1,1,0,0,0,0,0,0,0,3.53,"Samet, Jordan A"
ACCY,302,36680,Decision Making for Atg,AE5,LCD,120228,2,6,6,4,2,1,2,0,1,1,1,0,0,0,3.26,"Curtis, Susan M"
ACCY,302,36688,Decision Making for Atg,AE8,LCD,120228,2,4,1,6,3,5,3,1,0,0,2,0,0,0,3,"Curtis, Susan M"
ACCY,302,49258,Decision Making for Atg,AEA,LCD,120228,2,8,4,2,6,3,3,0,0,0,0,0,1,0,3.25,"Samet, Jordan A"
ACCY,303,36700,Atg Institutions and Reg,AE2,LCD,120228,7,2,3,5,3,0,3,1,2,1,0,0,0,0,3.2,"Pachera, Susan"
ACCY,303,36701,Atg Institutions and Reg,AE3,LCD,120228,12,2,2,5,1,0,1,1,1,0,1,0,0,0,3.46,"Pachera, Susan"
ACCY,303,36713,Atg Institutions and Reg,AE4,LCD,120228,5,6,1,5,3,3,1,1,1,0,0,0,0,0,3.36,"Godsell, David"
ACCY,303,49259,Atg Institutions and Reg,AE5,LCD,120228,5,6,3,2,1,1,2,2,2,0,0,0,0,0,3.31,"Pachera, Susan"
