Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACE,240,10035,Personal Financial Planning,11,15,11,21,8,2,2,0,1,0,1,0,1,0,3.44,"Stoddard, Paul B"
ART,100,10045,Understanding Visual Culture,2,17,3,3,2,1,0,1,0,0,0,0,1,0,3.59,"Burns, Jennifer"
ASTR,100,10005,Introduction to Astronomy,4,8,2,0,5,3,0,1,0,0,1,0,1,0,3.25,"Dunne, Bryan C"
ATMS,120,10002,Severe and Hazardous Weather,44,49,21,22,13,6,5,5,4,1,2,0,4,1,3.46,"Snodgrass, Eric R"
BADM,300,10013,The Legal Environment of Bus,10,32,12,12,11,5,4,4,0,0,0,0,0,0,3.51,"Fricke, Michael R"
BADM,310,10014,Mgmt and Organizational Beh,0,90,6,1,2,2,0,1,0,0,0,0,0,0,3.91,"Shabbir, Muhammad S"
BADM,350,10015,IT for Networked Organizations,1,10,6,3,3,1,1,0,0,0,0,0,0,0,3.6,"Sachdev, Vishal"
BADM,380,10017,International Business,2,22,3,3,1,0,0,0,0,0,0,0,0,0,3.87,"Bucheli, Marcelo"
CHLH,100,10028,Contemporary Health,2,28,4,3,1,3,2,0,0,0,0,1,0,0,3.66,"Trask, Jeffrey T"
CS,199,10030,Elements of Game Design,0,29,0,0,2,0,0,1,0,0,0,0,3,1,3.54,"Shaffer, Eric G"
DANC,100,10027,Intro to Contemporary Dance,47,27,2,4,0,3,0,1,0,0,0,0,3,0,3.75,"Ferrell, Rebecca"
ECON,102,10019,Microeconomic Principles,59,14,12,3,5,5,1,0,0,1,1,0,3,2,3.64,"Vazquez, Jose J"
ECON,103,10020,Macroeconomic Principles,0,17,4,7,16,3,5,6,3,0,1,0,4,2,2.9,"McDermott, Eric M"
ECON,203,10021,Economic Statistics II,10,6,3,2,9,5,1,0,2,0,2,1,1,4,3.1,"Petry, Joseph A"
ECON,302,10026,Inter Microeconomic Theory,3,10,3,7,6,7,3,8,3,2,0,2,1,1,2.82,"Buckley, Bryan D"
ECON,303,10052,Inter Macroeconomic Theory,7,5,2,3,1,3,1,0,0,0,0,1,1,0,3.31,"Petry, Joseph A"
FIN,221,10053,Corporate Finance,2,17,3,4,7,3,1,1,1,1,1,0,1,1,3.28,"Dyer, Michael A"
GEOL,117,10049,The Oceans,2,7,6,4,5,2,1,1,0,0,0,0,2,0,3.2,"Pettijohn, Justin C"
MACS,356,10011,Sex & Gender in Popular Media,0,0,0,2,2,6,2,3,0,0,2,0,6,3,1.8,"Grosse, Meghan L"
MUS,130,10031,Introd to the Art of Music,10,54,0,1,0,0,0,0,0,0,0,0,1,0,3.93,"Magee, Gayle S"
PHIL,102,10046,Logic and Reasoning,3,9,6,8,6,3,3,2,1,0,1,1,0,0,3.19,"Gilbert, David R"
PS,224,10029,Politics of the National Parks,9,2,9,2,0,1,0,1,0,0,0,0,0,0,3.68,"Paschall, Collin E"
PSYC,100,10034,Intro Psych,0,5,7,2,7,0,3,4,0,3,3,0,5,0,2.44,"Shenouda, Christine K"
RST,100,10041,RST in Modern Society,3,13,3,3,0,0,0,0,0,0,0,0,0,0,3.86,"Shinew, Kimberly J"
SOC,100,10018,Introduction to Sociology,0,53,19,15,6,1,2,15,1,0,0,0,2,2,3.41,"Steward, Daniel J"
SPAN,130,10039,Intermediate Spanish,14,1,2,1,2,1,1,0,0,0,0,0,2,0,3.4,"Gonzalez Boluda, Mariana"
