CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
37453,ACCY,200,Fundamentals of Accounting,ONL,ONL,120255,"Zhang, Li",,,,,18,10,3,1,2,4,0,0,0,0,0,1,0,0,3.68
30561,ACCY,201,Accounting and Accountancy I,A,ONL,120255,"Fisher, Mitchell B",,,,,9,4,6,3,3,1,1,4,0,0,1,0,0,0,3.34
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120255,"Thompson, Ryan J",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120255,"Wang, Xiaofei",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120255,"Van Wagoner, Anthony",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120255,"Liu, Wei Qing",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40956,ACCY,410,Advanced Financial Reporting,HA3,LCD,120255,"Penn, Michael W",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30083,ACCY,501,Accounting Analysis I,A,LCD,120255,"Chatterton, Angel",,,,,11,4,4,0,3,3,0,2,0,0,0,0,0,0,3.54
30086,ACCY,501,Accounting Analysis I,B,LCD,120255,"Chatterton, Angel",,,,,10,10,3,3,2,0,0,1,0,0,0,0,0,0,3.76
32912,ACCY,501,Accounting Analysis I,C,LCD,120255,"Augusto Sampaio, Gerlando",,,,,12,3,7,1,1,0,0,0,0,0,0,0,0,0,3.83
41040,ACCY,501,Accounting Analysis I,D,LCD,120255,"Augusto Sampaio, Gerlando",,,,,11,5,5,2,2,0,1,0,0,0,1,0,0,0,3.64
40284,ACCY,516,Ethics,DA1,ONL,120255,"Curtis, Susan M",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40285,ACCY,516,Ethics,NA1,ONL,120255,"Curtis, Susan M",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40958,ACCY,550,Multistate Taxation,DA1,ONL,120255,"Hutchens, Matthew",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40959,ACCY,550,Multistate Taxation,NA1,ONL,120255,"Hutchens, Matthew",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41527,ACCY,554,International Taxation,DA1,ONL,120255,"Hutchens, Matthew",,,,,14,27,3,2,0,0,0,0,0,0,0,0,0,0,3.95
41528,ACCY,554,International Taxation,NA1,ONL,120255,"Hutchens, Matthew",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30098,ACCY,593,Adv Accy Theory & Practice,AT1,LCD,120255,"Kustanovich, Michael",,,,,0,10,5,3,2,0,2,0,0,0,0,0,0,0,3.59
30096,ACCY,593,Adv Accy Theory & Practice,AT2,LCD,120255,"Kustanovich, Michael",,,,,1,12,3,1,3,4,1,0,0,0,0,0,0,0,3.53
37025,ACE,161,Microcomputer Applications,ONL,ONL,120255,"Burnett, Meghan L",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42315,ADV,212,Advertising History,1,ONL,120255,"Chambers, Jason P",,,,,0,4,11,10,5,0,2,2,0,0,2,0,3,0,2.96
38283,ADV,281,Advertising Research Methods,ONL,ONL,120255,"Ham, Chang Dae",,,,,0,24,3,0,0,1,0,0,0,0,0,0,2,0,3.66
41330,AFRO,132,African American Music,A,ONL,120255,"Meyers, John P",,,,,0,11,8,2,0,1,0,1,1,1,0,0,1,0,3.37
37229,AFRO,598,Interseminars Summer Intensive,B,RES,120255,"Rosas, Gilberto",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37829,AFST,222,Introduction to Modern Africa,A,ONL,120255,"Toure, Vieux A",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40633,AGED,498,2nd Year Ag Teachers Seminar,A,ONL,120255,"Leman, Amy M",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42364,AGED,499,Seminar,FSW,DIS,120255,"Ma, Sihui",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42370,AGED,501,Inquiry-based Curr in Ag STEM,CI,LCD,120255,"Leman, Amy M",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40206,ANSC,205,World Animal Resources,A,ONL,120255,"Emmert, Jason L",,,,,13,8,1,0,1,1,3,2,0,0,1,0,3,0,3.19
