CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
48420,ACCY,304,Accounting Control Systems,AE7,LCD,120241,"Dahle, Andrew J",5,7,6,2,5,5,1,2,0,0,0,0,0,0,3.37
48421,ACCY,304,Accounting Control Systems,AE8,LCD,120241,"Hayne, Christie",3,6,3,2,4,0,1,3,0,0,0,0,0,0,3.36
30334,ACCY,312,Principles of Taxation,A,LCD,120241,"Hutchens, Michelle L",1,9,4,7,4,0,0,1,0,0,0,0,0,0,3.54
30335,ACCY,312,Principles of Taxation,B,LCD,120241,"Hutchens, Michelle L",0,5,2,4,5,5,0,0,1,1,0,0,1,0,3
30336,ACCY,312,Principles of Taxation,C,LCD,120241,"Hutchens, Michelle L",0,6,6,4,3,3,1,1,0,0,0,0,0,0,3.36
39460,ACCY,312,Principles of Taxation,D,LCD,120241,"Osswald, Benjamin",6,5,0,6,4,0,0,2,0,0,1,0,0,0,3.37
48959,ACCY,312,Principles of Taxation,E,LCD,120241,"Osswald, Benjamin",1,6,3,3,10,3,0,1,0,0,0,0,0,0,3.3
56978,ACCY,312,Principles of Taxation,F,LCD,120241,"Holder, Charles B",0,8,3,3,4,3,0,2,0,0,0,0,0,0,3.35
30412,ACCY,398,Practical Problems in Atg,A,ONL,120241,"Hutchens, Matthew",0,84,0,0,1,0,0,4,0,0,0,0,0,0,3.91
30311,ACCY,405,Assurance and Attestation,AE1,LCD,120241,"Rogowski, Edward J",0,16,2,1,8,0,0,0,0,0,0,0,0,0,3.65
30315,ACCY,405,Assurance and Attestation,AE2,LCD,120241,"Chatterton, Angel",3,7,8,5,3,0,1,0,0,0,0,0,0,0,3.61
30324,ACCY,405,Assurance and Attestation,AE3,LCD,120241,"Ciconte, William",0,8,9,5,3,1,1,0,0,0,0,0,0,0,3.54
52616,ACCY,405,Assurance and Attestation,AE5,LCD,120241,"Dahle, Andrew J",7,4,2,5,7,0,1,0,0,0,0,0,0,0,3.51
71388,ACCY,405,Assurance and Attestation,AE7,LCD,120241,"Ciconte, William",0,3,7,4,1,3,1,1,0,0,2,0,0,0,3.11
