CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
36837,GEOL,118,Natural Disasters,ONL,ONL,120185,"Altaner, Stephen P",,,,,7,5,2,0,5,2,1,1,0,1,0,0,0,0,3.39
36009,HDFS,105,Intro to Human Development,C,ONL,120185,"Theisen, Jaclyn C",,,,,14,9,3,3,5,1,2,0,1,1,0,0,0,0,3.55
39396,HIST,257,"Terrorism, Past and Present",A,ONL,120185,"Lynn, John A",,,,,1,2,1,4,1,3,5,0,2,0,0,1,1,1,2.65
37351,IB,150,Organismal & Evolutionary Biol,A,ONL,120185,"Clegg, Benjamin F",,,,,2,14,7,9,7,5,2,5,1,0,1,0,2,0,3.12
37352,IB,364,Genomics and Human Health,A,ONL,120185,"Manaster, Joanne L",,,,,18,6,0,3,2,0,1,0,0,0,0,0,0,0,3.81
39620,IB,535,Biology and Tech Innovation,A,ONL,120185,"Alleyne, Marianne",,,,,14,6,0,1,1,0,0,1,0,0,0,0,0,0,3.84
39561,IS,510,Adult Public Services,AO,ONL,120185,"Rhea, Heidi J",,,,,8,14,0,0,0,0,1,0,0,0,0,0,0,0,3.93
39590,IS,532,Theory & Pract Data Cleaning,DCO,ONL,120185,"Ludaescher, Bertram",,,,,39,7,2,0,1,0,0,0,0,0,0,0,0,0,3.97
39100,JOUR,200,Introduction to Journalism,ONL,ONL,120185,"Follis, Jennifer E",,,,,6,21,13,6,2,3,1,1,1,0,2,0,1,1,3.47
39612,JOUR,453,Crisis Communications,A,ONL,120185,"Holley, Geralyn K",,,,,0,13,3,3,5,1,0,1,0,0,0,0,0,0,3.56
38742,KIN,122,Physical Activity and Health,ON,ONL,120185,"Bensken, Jeanine D",,,,,11,6,8,8,0,0,0,1,0,0,0,1,0,0,3.62
