CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
10141,ANTH,103,Anthro in a Changing World,ONL,ONL,120250,"Abing, Jaclyn M",,,,,31,4,3,2,0,0,0,0,0,0,0,0,1,0,3.85
10064,ASTR,330,Extraterrestrial Life,ONL,ONL,120250,"Looney, Leslie W",,,,,3,22,1,4,7,1,0,0,0,0,0,0,0,0,3.7
10002,ATMS,120,Severe and Hazardous Weather,ONL,ONL,120250,"Choate, Jessica J",,,,,1,7,2,4,6,1,0,2,1,0,0,0,1,0,3.16
10121,BADM,275,Operations Management,OL,ONL,120250,"Han, Rongqing",,,,,31,10,12,1,1,1,0,0,1,0,0,0,1,0,3.77
10013,BADM,300,The Legal Environment of Bus,OL,ONL,120250,"Wright, Margaret",,,,,115,29,5,4,3,0,1,2,0,0,0,0,0,0,3.92
10014,BADM,310,Mgmt and Organizational Beh,OL,ONL,120250,"Ji, Mingshuang",,,,,84,52,1,3,2,0,1,0,0,0,0,0,0,0,3.96
10056,BADM,320,Principles of Marketing,OL,ONL,120250,"Liu, Yunchuan",,,,,11,88,8,6,13,2,3,1,1,0,0,0,1,0,3.73
10015,BADM,350,IT for Networked Organizations,OL,ONL,120250,"Sachdev, Vishal",,,,,0,15,3,1,0,1,0,1,0,0,0,0,0,0,3.76
10083,CLCV,115,Mythology of Greece and Rome,A,ONL,120250,"Sotiroudis, Panagiotis",,,,,6,9,6,1,1,2,0,0,0,1,0,0,0,0,3.65
10027,DANC,100,Intro to Contemporary Dance,OL1,ONL,120250,"Brandano, Juliana",,,,,0,16,2,1,2,0,0,0,0,0,1,0,0,0,3.71
10019,ECON,102,Microeconomic Principles,ONL,ONL,120250,"DiIanni, Isaac",,,,,44,29,11,8,3,0,0,1,0,0,1,0,0,0,3.82
10020,ECON,103,Macroeconomic Principles,ONL,ONL,120250,"Vazquez, Jose J",,,,,8,17,14,5,1,1,0,1,0,0,0,0,3,0,3.51
10139,HK,271,Health Equity in the U.S.,ONL,ONL,120250,"Frasca, Elizabeth A",,,,,7,10,2,0,0,1,0,1,0,0,0,0,0,0,3.81
10132,IS,229,Web Design Fundamentals,OAU,ONL,120250,"MacMullen, Thomas C",,,,,19,1,0,0,0,0,1,1,1,0,0,0,2,0,3.44
10120,IS,445,Data Visualization,OAU,ONL,120250,"Besser, Stephanie A",,,,,18,11,1,0,1,0,0,0,0,0,0,0,0,1,3.96
10140,JOUR,200,Introduction to Journalism,A,ONL,120250,"King, Colleen C",,,,,11,6,4,1,1,2,1,0,0,1,0,0,1,0,3.5
10055,MUS,132,Popular Music Studies,A,ONL,120250,"Eagen-Jones, Megan K",,,,,56,44,21,4,8,0,2,4,0,0,0,0,1,0,3.76
10097,MUS,133,Introduction to World Music,A,ONL,120250,"Smith, Jonathon M",,,,,71,33,4,6,3,1,1,2,0,0,0,0,0,0,3.87
10034,PSYC,100,Intro Psych,A,ONL,120250,"Shenouda, Christine K",,,,,0,11,7,5,9,1,2,2,0,2,1,0,0,0,3.21
10060,PSYC,204,Intro to Brain and Cognition,A,ONL,120250,"Dolcos, Sanda M",,,,,5,15,13,3,4,1,1,1,0,0,0,0,0,0,3.64
10106,REL,110,World Religions,AL1,ONL,120250,"Ebel, Jonathan H",,,,,0,31,2,2,0,0,0,0,0,0,0,0,0,0,3.94
10039,SPAN,130,Intermediate Spanish,A,ONL,120250,"Abbott, Annie R",,,,,10,9,0,2,2,1,1,0,0,1,0,0,0,0,3.65
10102,SPAN,130,Intermediate Spanish,B,ONL,120250,"Hughes, Brady A",,,,,6,4,2,5,2,0,2,1,0,0,0,1,1,0,3.22
10040,SPAN,142,Spanish in the Professions,A,ONL,120250,"Dutton, Michelle M",,,,,13,7,4,0,2,1,0,2,0,0,0,0,1,0,3.58
