Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
LER,545,39683,Economics of Human Resources,A1,ONL,2,20,0,0,1,1,0,1,0,0,0,0,0,0,3.83,"Kim, Ki-Jung"
LER,545,41187,Economics of Human Resources,B,ONL,7,10,2,3,0,0,0,0,0,0,0,0,0,0,3.88,"Sun, Yuanyuan"
LER,590,38774,Fundamentals of Business & Man,FBM,ONL,0,17,7,0,4,2,0,0,0,0,0,1,0,0,3.6,"Neuman, Eric J"
MACS,356,36795,Sex & Gender in Popular Media,A,ONL,5,8,2,2,1,0,0,1,0,2,1,0,3,0,2.99,"Aguayo, Angela J"
MATH,220,36762,Calculus,E1,ONL,0,4,2,3,4,1,0,5,0,0,2,1,4,1,2.33,"Neidinger, Dana M"
MATH,231,33002,Calculus II,B1,ONL,0,7,1,2,0,0,0,5,1,1,4,1,3,0,2.24,"Murley, Cassie L"
MATH,241,33478,Calculus III,D1,ONL,16,16,6,5,3,2,3,0,1,0,2,2,2,0,3.33,"Ahmed, Iftikhar"
MATH,241,38309,Calculus III,ONL,ONL,0,3,7,1,3,4,0,2,0,1,1,1,1,0,2.82,"Carpenter, Bruce"
MATH,257,41270,Linear Algebra w Computat Appl,ONL,ONL,4,14,3,6,3,2,0,2,1,0,1,1,0,0,3.37,"McCarthy, Randy"
MATH,285,38310,Intro Differential Equations,ONL,ONL,0,4,5,0,5,1,1,4,1,0,0,1,2,1,2.7,"Carpenter, Bruce"
MATH,415,38313,Applied Linear Algebra,ONL,ONL,0,8,9,5,8,3,3,5,2,1,2,0,3,0,2.8,"Carpenter, Bruce"
MATH,441,39529,Differential Equations,ONL,ONL,5,6,2,1,3,1,0,2,1,0,1,0,0,0,3.32,"McCarthy, Randy"
MATH,461,38314,Probability Theory,ONL,ONL,1,6,3,0,4,2,1,2,0,0,0,0,2,0,2.98,"Carpenter, Bruce"
MBA,542,40554,Digital Marketing Analytics,IMB,ONL,593,138,14,24,11,2,2,1,0,1,0,0,2,2,3.94,"Hartman, Kevin E"
MBA,546,40556,Global Business Horizons,IMB,ONL,87,321,49,23,11,2,1,1,0,0,0,0,1,1,3.89,"Viswanathan, Madhubalan"
MBA,552,40558,Fostering Creative Thinking,IMB,ONL,338,406,228,130,92,21,12,7,3,1,1,1,3,1,3.72,"Loewenstein, Jeffrey"
