Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2023,Spring,2023-sp,AFST 233,Context in International Interventions,,NW,,,,SS
2023,Spring,2023-sp,AFST 243,Pan Africanism,,NW,,,,
2023,Spring,2023-sp,AFST 254,Economic Systems in Africa,,NW,,,,SS
2023,Spring,2023-sp,AFST 266,African Film and Society,,NW,,,,
2023,Spring,2023-sp,AGCM 220,Communicating Agriculture,ACP,,,,,
2023,Spring,2023-sp,AGED 360,Advanced Leadership Studies,,,,,,SS
2023,Spring,2023-sp,AIS 101,Intro to Amer Indian Studies,,US,HP,,,
2023,Spring,2023-sp,AIS 102,Contemp Issues in Ind Country,,US,,,,SS
2023,Spring,2023-sp,AIS 140,Native Religious Traditions,,US,HP,,,
2023,Spring,2023-sp,AIS 165,Lang & Culture Native North Am,,NW,,,,
2023,Spring,2023-sp,AIS 214,American Indian Law & Politics,,US,,,,SS
2023,Spring,2023-sp,AIS 265,Intro to American Indian Lit,,US,LA,,,
2023,Spring,2023-sp,AIS 275,Am Indian and Indigenous Film,,US,LA,,,
2023,Spring,2023-sp,AIS 277,Encounters in Native America,,US,HP,,,
2023,Spring,2023-sp,AIS 278,Native American History,,US,HP,,,
2023,Spring,2023-sp,AIS 285,Indigenous Thinkers,,NW,HP,,,
2023,Spring,2023-sp,AIS 288,American Indians of Illinois,,US,HP,,,
2023,Spring,2023-sp,AIS 295,US Citizenship Comparatively,,US,HP,,,
2023,Spring,2023-sp,ANSC 110,Life With Animals and Biotech,,,,LS,,
2023,Spring,2023-sp,ANSC 205,World Animal Resources,ACP,,,,,
2023,Spring,2023-sp,ANSC 207,The Science of Pets and How to Care for Them,,,,LS,,
2023,Spring,2023-sp,ANSC 250,Companion Animals in Society,,WCC,,,,
2023,Spring,2023-sp,ANSC 255,Animal Ethics,,,HP,,,
2023,Spring,2023-sp,ANSC 305,Human Animal Interactions,,,,,,SS
2023,Spring,2023-sp,ANTH 101,Introduction to Anthropology,,WCC,,,,SS
2023,Spring,2023-sp,ANTH 102,Human Origins and Culture,,,,,,SS
2023,Spring,2023-sp,ANTH 103,Anthro in a Changing World,,NW,,,,SS
2023,Spring,2023-sp,ANTH 104,Talking Culture,,,,,,SS
2023,Spring,2023-sp,ANTH 105,World Archaeology,,,HP,,,
2023,Spring,2023-sp,ANTH 106,Hist Arch Americas,,US,HP,,,
2023,Spring,2023-sp,ANTH 108,Religion & Society in West I,,WCC,HP,,,
2023,Spring,2023-sp,ANTH 109,Religion & Society in West II,,WCC,HP,,,
2023,Spring,2023-sp,ANTH 110,Humanizing Science,,,,,,SS
2023,Spring,2023-sp,ANTH 126,Humans and Animals - Food or Friend?,,,,,,SS
2023,Spring,2023-sp,ANTH 130,History of South Asia,,NW,HP,,,
2023,Spring,2023-sp,ANTH 143,Biology of Human Behavior,,,,LS,,
2023,Spring,2023-sp,ANTH 157,The Archaeology of Illinois,,,HP,,,
2023,Spring,2023-sp,ANTH 160,Race and Contemporary Social Issues,,US,,,,
2023,Spring,2023-sp,ANTH 165,Lang & Culture Native North Am,,NW,,,,
2023,Spring,2023-sp,ANTH 175,Archaeology and Pop Culture,,,HP,,,
2023,Spring,2023-sp,ANTH 180,The Archaeology of Death,,WCC,,,,SS
2023,Spring,2023-sp,ANTH 182,Latin American Cultures,,NW,,,,SS
2023,Spring,2023-sp,ANTH 209,"Food, Culture, and Society",,WCC,,,,SS
2023,Spring,2023-sp,ANTH 210,Families in Global Perspective,,NW,,,,SS
2023,Spring,2023-sp,ANTH 221,Archaeology of South Asia,,NW,,,,SS
2023,Spring,2023-sp,ANTH 222,Introduction to Modern Africa,,NW,,,,
2023,Spring,2023-sp,ANTH 224,Tourist Cities and Sites,,,,,,SS
2023,Spring,2023-sp,ANTH 241,Human Biological Variation,,,,LS,,
2023,Spring,2023-sp,ANTH 246,Forensic Science,,,,LS,,
2023,Spring,2023-sp,ANTH 248,Introduction to Engaged and Public Anthropology,,NW,,,,SS
2023,Spring,2023-sp,ANTH 249,Evolution and Human Disease,,,,LS,,
2023,Spring,2023-sp,ANTH 250,The World Through Museums,,WCC,,,,SS
2023,Spring,2023-sp,ANTH 259,Latina/o Anthropology,,US,,,,SS
2023,Spring,2023-sp,ANTH 261,Intro to the African Diaspora,,US,HP,,,
2023,Spring,2023-sp,ANTH 262,Women's Lives,,,,,,SS
2023,Spring,2023-sp,ANTH 263,"Body, Personhood, and Culture",,,,,,SS
2023,Spring,2023-sp,ANTH 266,African Film and Society,,NW,,,,
2023,Spring,2023-sp,ANTH 268,Images of the Other,ACP,WCC,HP,,,
2023,Spring,2023-sp,ANTH 270,Language in Culture,ACP,,,,,SS
2023,Spring,2023-sp,ANTH 272,Language and Culture in Turkey,,NW,,,,
2023,Spring,2023-sp,ANTH 277,"Ancient Cities, Sacred Land",,WCC,,,,SS
2023,Spring,2023-sp,ANTH 278,Climate Change & Civilization,,NW,,,,
2023,Spring,2023-sp,ANTH 279,"Economy, Business & Society",,WCC,,,,SS
2023,Spring,2023-sp,ANTH 285,Intro to Korea Through Film,,NW,,,,
2023,Spring,2023-sp,ANTH 288,American Indians of Illinois,,US,HP,,,
2023,Spring,2023-sp,ANTH 290,Jewish Cultures of the World,,NW,,,,
2023,Spring,2023-sp,ANTH 339,Industrial Heritage and Communities,,,,,,SS
2023,Spring,2023-sp,ANTH 393,The World of Jewish Sepharad,,WCC,HP,,,
2023,Spring,2023-sp,ANTH 414,Writing Ethnography,ACP,,,,,
2023,Spring,2023-sp,ARAB 150,Lang&Culture of Arab World,,NW,,,,
2023,Spring,2023-sp,ARCH 164,Architecture as a Second Language,,,LA,,,
2023,Spring,2023-sp,ARCH 222,Islamic Gardens & Architecture,,NW,HP,,,
2023,Spring,2023-sp,ARCH 314,History of World Landscapes,ACP,WCC,HP,,,
2023,Spring,2023-sp,ART 100,Understanding Visual Culture,,,LA,,,
2023,Spring,2023-sp,ART 102,Drawing for Non-Majors,,,LA,,,
2023,Spring,2023-sp,ART 103,Painting for Non-Majors,,,LA,,,
2023,Spring,2023-sp,ART 104,Sculpture for Non-Majors,,,LA,,,
2023,Spring,2023-sp,ART 105,Visual Design for Non-Majors,,,LA,,,
2023,Spring,2023-sp,ART 140,Introduction to Art,,,LA,,,
2023,Spring,2023-sp,ART 205,Experience & Meaning in Design,,WCC,,,,BSC
2023,Spring,2023-sp,ART 208,Digital Art and Sustainability,,,LA,,,
2023,Spring,2023-sp,ART 221,Visual Culture of Fandoms,,,LA,,,
