Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code,Legacy Advising Code,Legacy Department Code,Legacy Major Name
1999,,Business,,,,Accountancy,,,790,399,391,3,571,104,40,36,1,,,35,,,,,,711,79,,1705,1705,ACCOUNT
1999,,Business,,,,Accountancy,,,22,13,9,,7,4,,,,,,11,,,,,,4,18,,1705,1705,ACCOUNT
2000,,Business,,,,Accountancy,,,719,347,372,5,499,101,42,34,1,,,37,,,,,,643,76,,1705,1705,ACCOUNT
2000,,Business,,,,Accountancy,,,16,10,6,,6,4,,,,,,6,,,,,,4,12,,1705,1705,ACCOUNT
2001,,Business,,,,Accountancy,,,664,313,351,6,439,97,34,41,1,,,46,,,,,,590,74,,1705,1705,ACCOUNT
2001,,Business,,,,Accountancy,,,18,11,7,2,4,2,,,,,,10,,,,,,3,15,,1705,1705,ACCOUNT
2002,,Business,,,,Accountancy,,,796,401,395,16,527,117,28,46,1,,,61,,,,,,695,101,,1705,1705,ACCOUNT
2002,,Business,,,,Accountancy,,,20,13,7,2,6,2,1,,,,,9,,,,,,3,17,,1705,1705,ACCOUNT
1997,,Business,,,,Accountancy,3928,International Program,34,18,16,1,,,,,,,,33,,,,,,0,34,,1705,1705,ACCOUNTANCY-INT
1998,,Business,,,,Accountancy,3928,International Program,54,31,23,3,,1,,1,,,,49,,,,,,2,52,,1705,1705,ACCOUNTANCY-INT
1999,,Business,,,,Accountancy,3928,International Program,48,27,21,1,,1,,,,,,46,,,,,,1,47,,1705,1705,ACCOUNTANCY-INT
2000,,Business,,,,Accountancy,3928,International Program,75,45,30,2,,1,,,,,,72,,,,,,1,74,,1705,1705,ACCOUNTANCY-INT
2001,,Business,,,,Accountancy,3928,International Program,78,42,36,3,,1,,,,,,74,,,,,,1,77,,1705,1705,ACCOUNTANCY-INT
2002,,Business,,,,Accountancy,3928,International Program,85,46,39,1,2,1,,,,,,81,,,,,,2,83,,1705,1705,ACCOUNTANCY-INT
1997,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),23,15,8,,5,1,,,,,,17,,,,,,5,18,,1705,1705,ACCOUNTANCY-MAS
1998,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),19,9,10,1,7,2,,,,,,9,,,,,,6,13,,1705,1705,ACCOUNTANCY-MAS
1999,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),10,5,5,1,3,2,,,,,,4,,,,,,4,6,,1705,1705,ACCOUNTANCY-MAS
2000,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),28,15,13,17,5,,,1,,,,5,,,,,,5,23,,1705,1705,ACCOUNTANCY-MAS
2001,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),117,59,58,12,87,10,1,2,,,,5,,,,,,79,38,,1705,1705,ACCOUNTANCY-MAS
2002,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),90,45,45,,65,12,1,1,,,,11,,,,,,74,16,,1705,1705,ACCOUNTANCY-MAS
1997,,Business,,,,Accountancy,193,Tax,15,4,11,,7,1,2,1,,,,4,,,,,,9,6,,1705,1705,ACCOUNTANCY-TAX
1998,,Business,,,,Accountancy,193,Tax,8,2,6,1,2,2,,,,,,3,,,,,,3,5,,1705,1705,ACCOUNTANCY-TAX
1999,,Business,,,,Accountancy,193,Tax,17,10,7,1,8,4,1,,,,,3,,,,,,8,9,,1705,1705,ACCOUNTANCY-TAX
2000,,Business,,,,Accountancy,193,Tax,9,6,3,1,6,1,,,,,,1,,,,,,5,4,,1705,1705,ACCOUNTANCY-TAX
2001,,Business,,,,Accountancy,193,Tax,28,15,13,2,19,4,,1,,,,2,,,,,,25,3,,1705,1705,ACCOUNTANCY-TAX
2002,,Business,,,,Accountancy,193,Tax,42,23,19,4,30,7,,,,,,1,,,,,,39,3,,1705,1705,ACCOUNTANCY-TAX
2001,,Business,,,,Accountancy,73,Accountancy Postb,4,1,3,,4,,,,,,,,,,,,,4,,,1705,1705,ACCY POSTBAC
2002,,Business,,,,Accountancy,73,Accountancy Postb,16,9,7,,9,4,1,1,,,,1,,,,,,14,2,,1705,1705,ACCY POSTBAC
2001,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),92,46,46,,71,16,1,2,,,,2,,,,,,83,9,,1705,1705,ACCY-BS/MASTER
2002,,Business,,,,Accountancy,72,Accountancy (BS/Master Prg),90,36,54,1,68,13,2,3,,,,3,,,,,,83,7,,1705,1705,ACCY-BS/MASTER
2000,,LAS,,,,Actuarial Science,,,3,3,,,,2,1,,,,,,,,,,,3,,,3254,3254,ACTUARIAL SCI
2001,,LAS,,,,Actuarial Science,,,14,10,4,1,1,2,1,,,,,9,,,,,,5,9,,3254,3254,ACTUARIAL SCI
2002,,LAS,,,,Actuarial Science,,,21,9,12,1,1,,,,,,,19,,,,,,2,19,,3254,3254,ACTUARIAL SCI
2003,,LAS,,,,Actuarial Science,,,19,5,14,,2,1,,,,,,16,,,,,,3,16,,3254,3254,ACTUARIAL SCI
1980,,Media,,,,Advertising,,,44,24,20,,7,,4,32,1,,,19,,,,,,0,25,,2803,2803,ADVERTIS
1980,,Media,,,,Advertising,,,196,53,143,,,1,5,187,3,,,5,,,,,,0,191,,2803,2803,ADVERTIS
1981,,Media,,,,Advertising,,,37,20,17,,27,1,2,,,,,7,,,,,,22,15,,2803,2803,ADVERTIS
1981,,Media,,,,Advertising,,,197,49,148,,192,4,,1,,,,,,,,,,193,4,,2803,2803,ADVERTIS
1982,,Media,,,,Advertising,,,42,20,22,,7,,3,30,2,,,18,,,,,,0,24,,2803,2803,ADVERTIS
1982,,Media,,,,Advertising,,,206,58,148,,,,2,202,2,,,3,,,,,,0,203,,2803,2803,ADVERTIS
1983,,Media,,,,Advertising,,,46,18,28,,34,1,2,,,,,9,,,,,,31,15,,2803,2803,ADVERTIS
1983,,Media,,,,Advertising,,,207,61,146,,196,2,8,1,,,,,,,,,,203,4,,2803,2803,ADVERTIS
1984,,Media,,,,Advertising,,,46,14,32,1,8,,1,34,2,,,15,,,,,,0,31,,2803,2803,ADVERTIS
1984,,Media,,,,Advertising,,,211,64,147,1,1,1,5,200,3,,,6,,,,,,0,205,,2803,2803,ADVERTIS
1985,,Media,,,,Advertising,,,37,18,19,,24,,1,,,,,12,,,,,,17,20,,2803,2803,ADVERTIS
1985,,Media,,,,Advertising,,,213,61,152,1,207,3,2,,,,,,,,,,,206,7,,2803,2803,ADVERTIS
1986,,Media,,,,Advertising,,,39,20,19,1,26,,,,,,,12,,,,,,20,19,,2803,2803,ADVERTIS
1986,,Media,,,,Advertising,,,217,55,162,1,208,8,,,,,,,,,,,,213,4,,2803,2803,ADVERTIS
1987,,Media,,,,Advertising,,,45,24,21,,34,,1,,1,,,9,,,,,,28,17,,2803,2803,ADVERTIS
1987,,Media,,,,Advertising,,,221,47,174,1,201,,14,,5,,,,,,,,,219,2,,2803,2803,ADVERTIS
1988,,Media,,,,Advertising,,,50,21,29,,34,,2,,,,,14,,,,,,24,26,,2803,2803,ADVERTIS
1988,,Media,,,,Advertising,,,212,46,166,,193,12,4,1,2,,,,,,,,,207,5,,2803,2803,ADVERTIS
1989,,Media,,,,Advertising,,,48,16,32,1,28,2,1,,,,,16,,,,,,21,27,,2803,2803,ADVERTIS
1989,,Media,,,,Advertising,,,214,51,163,,195,7,8,4,,,,,,,,,,207,7,,2803,2803,ADVERTIS
1990,,Media,,,,Advertising,,,40,17,23,,20,3,2,1,,,,14,,,,,,17,23,,2803,2803,ADVERTIS
1990,,Media,,,,Advertising,,,214,57,157,,182,6,19,6,1,,,,,,,,,208,6,,2803,2803,ADVERTIS
1991,,Media,,,,Advertising,,,35,15,20,,17,2,4,2,,,,10,,,,,,20,15,,2803,2803,ADVERTIS
1991,,Media,,,,Advertising,,,235,61,174,,192,5,29,7,2,,,,,,,,,230,5,,2803,2803,ADVERTIS
1992,,Media,,,,Advertising,,,38,10,28,,24,2,5,,,,,7,,,,,,25,13,,2803,2803,ADVERTIS
1992,,Media,,,,Advertising,,,199,65,134,,154,16,23,6,,,,,,,,,,190,9,,2803,2803,ADVERTIS
1993,,Media,,,,Advertising,,,28,7,21,1,13,1,2,,,,,11,,,,,,14,14,,2803,2803,ADVERTIS
1993,,Media,,,,Advertising,,,207,68,139,,152,26,23,6,,,,,,,,,,195,12,,2803,2803,ADVERTIS
1994,,Media,,,,Advertising,,,34,10,24,1,14,,2,,,,,17,,,,,,13,21,,2803,2803,ADVERTIS
1994,,Media,,,,Advertising,,,225,73,152,1,169,22,17,14,,,,2,,,,,,215,10,,2803,2803,ADVERTIS
1995,,Media,,,,Advertising,,,30,10,20,,12,1,1,1,,,,15,,,,,,12,18,,2803,2803,ADVERTIS
1995,,Media,,,,Advertising,,,194,69,125,2,150,16,9,13,,,,4,,,,,,186,8,,2803,2803,ADVERTIS
1996,,Media,,,,Advertising,,,37,14,23,,24,,3,1,,,,9,,,,,,18,19,,2803,2803,ADVERTIS
1996,,Media,,,,Advertising,,,198,91,107,3,156,15,11,12,,,,1,,,,,,188,10,,2803,2803,ADVERTIS
1997,,Media,,,,Advertising,,,41,18,23,1,18,2,3,2,,,,15,,,,,,16,25,,2803,2803,ADVERTIS
1997,,Media,,,,Advertising,,,232,95,137,3,179,20,12,12,,,,6,,,,,,212,20,,2803,2803,ADVERTIS
1998,,Media,,,,Advertising,,,239,77,162,2,176,22,19,13,1,,,6,,,,,,219,20,,2803,2803,ADVERTIS
1998,,Media,,,,Advertising,,,36,14,22,1,11,1,1,2,,,,20,,,,,,13,23,,2803,2803,ADVERTIS
1999,,Media,,,,Advertising,,,26,12,14,,11,2,1,,,,,12,,,,,,11,15,,2803,2803,ADVERTIS
1999,,Media,,,,Advertising,,,265,89,176,2,196,22,32,11,1,,,1,,,,,,253,12,,2803,2803,ADVERTIS
2000,,Media,,,,Advertising,,,29,11,18,,13,1,6,,,,,9,,,,,,17,12,,2803,2803,ADVERTIS
2000,,Media,,,,Advertising,,,265,76,189,2,200,24,22,15,,,,2,,,,,,249,16,,2803,2803,ADVERTIS
2001,,Media,,,,Advertising,,,22,6,16,,11,1,2,1,,,,7,,,,,,12,10,,2803,2803,ADVERTIS
2001,,Media,,,,Advertising,,,290,73,217,5,236,21,15,11,,,,2,,,,,,275,15,,2803,2803,ADVERTIS
2002,,Media,,,,Advertising,,,28,9,19,,12,2,3,,,,,11,,,,,,15,13,,2803,2803,ADVERTIS
2002,,Media,,,,Advertising,,,283,64,219,10,220,23,16,12,,,,2,,,,,,269,14,,2803,2803,ADVERTIS
2003,,Media,,,,Advertising,,,35,13,22,2,14,1,2,,,,,16,,,,,,15,20,,2803,2803,ADVERTIS
2003,,Media,,,,Advertising,,,278,66,212,8,200,32,16,15,,,,7,,,,,,256,22,,2803,2803,ADVERTIS
1980,,Engineering,,,99,Aero & Astro Engineering,,,330,308,22,,303,14,7,3,1,,,2,,,,,,305,25,,2205,2205,A&A ENGR
1980,,Engineering,,,99,Aero & Astro Engineering,,,3,3,,,2,1,,,,,,,,,,,,3,,,2205,2205,A&A ENGR
1980,,Engineering,,,99,Aero & Astro Engineering,,,15,10,5,,15,,,,,,,,,,,,,14,1,,2205,2205,A&A ENGR
1980,,Engineering,,,99,Aero & Astro Engineering,,,31,30,1,,19,1,,,,,,11,,,,,,15,16,,2205,2205,A&A ENGR
1981,,Engineering,,,99,Aero & Astro Engineering,,,380,356,24,,349,19,8,3,1,,,,,,,,,360,20,,2205,2205,A&A ENGR
1981,,Engineering,,,99,Aero & Astro Engineering,,,14,11,3,,13,1,,,,,,,,,,,,13,1,,2205,2205,A&A ENGR
1981,,Engineering,,,99,Aero & Astro Engineering,,,41,38,3,1,25,1,,,,,,14,,,,,,21,20,,2205,2205,A&A ENGR
1982,,Engineering,,,99,Aero & Astro Engineering,,,408,377,31,,372,25,4,6,1,,,,,,,,,383,25,,2205,2205,A&A ENGR
1982,,Engineering,,,99,Aero & Astro Engineering,,,3,1,2,,3,,,,,,,,,,,,,3,,,2205,2205,A&A ENGR
1982,,Engineering,,,99,Aero & Astro Engineering,,,19,16,3,,17,2,,,,,,,,,,,,17,2,,2205,2205,A&A ENGR
1982,,Engineering,,,99,Aero & Astro Engineering,,,51,49,2,1,33,3,2,,,,,12,,,,,,29,22,,2205,2205,A&A ENGR
1983,,Engineering,,,99,Aero & Astro Engineering,,,410,367,43,,376,19,5,9,1,,,,,,,,,382,28,,2205,2205,A&A ENGR
1983,,Engineering,,,99,Aero & Astro Engineering,,,16,15,1,,14,2,,,,,,,,,,,,14,2,,2205,2205,A&A ENGR
1983,,Engineering,,,99,Aero & Astro Engineering,,,47,46,1,1,35,3,,1,,,,7,,,,,,30,17,,2205,2205,A&A ENGR
1984,,Engineering,,,99,Aero & Astro Engineering,,,450,400,50,1,408,24,6,9,,,,2,,,,,,414,36,,2205,2205,A&A ENGR
1984,,Engineering,,,99,Aero & Astro Engineering,,,2,2,,,2,,,,,,,,,,,,,2,,,2205,2205,A&A ENGR
1984,,Engineering,,,99,Aero & Astro Engineering,,,11,11,,,9,2,,,,,,,,,,,,9,2,,2205,2205,A&A ENGR
1984,,Engineering,,,99,Aero & Astro Engineering,,,32,32,,,24,2,,1,,,,5,,,,,,21,11,,2205,2205,A&A ENGR
1985,,Engineering,,,99,Aero & Astro Engineering,,,571,515,56,2,513,34,10,9,,,,3,,,,,,531,40,,2205,2205,A&A ENGR
1985,,Engineering,,,99,Aero & Astro Engineering,,,6,3,3,,6,,,,,,,,,,,,,5,1,,2205,2205,A&A ENGR
1985,,Engineering,,,99,Aero & Astro Engineering,,,12,12,,,11,1,,,,,,,,,,,,10,2,,2205,2205,A&A ENGR
1985,,Engineering,,,99,Aero & Astro Engineering,,,29,27,2,,23,,,,,,,6,,,,,,16,13,,2205,2205,A&A ENGR
1986,,Engineering,,,99,Aero & Astro Engineering,,,520,469,51,1,470,27,9,9,,,,4,,,,,,482,38,,2205,2205,A&A ENGR
1986,,Engineering,,,99,Aero & Astro Engineering,,,11,8,3,,6,2,1,2,,,,,,,,,,10,1,,2205,2205,A&A ENGR
1986,,Engineering,,,99,Aero & Astro Engineering,,,17,16,1,,16,,1,,,,,,,,,,,14,3,,2205,2205,A&A ENGR
1986,,Engineering,,,99,Aero & Astro Engineering,,,51,47,4,,39,,1,,,,,11,,,,,,26,25,,2205,2205,A&A ENGR
1987,,Engineering,,,99,Aero & Astro Engineering,,,558,502,56,3,485,35,14,17,,,,4,,,,,,507,51,,2205,2205,A&A ENGR
1987,,Engineering,,,99,Aero & Astro Engineering,,,14,13,1,,12,2,,,,,,,,,,,,13,1,,2205,2205,A&A ENGR
1987,,Engineering,,,99,Aero & Astro Engineering,,,16,16,,,14,1,1,,,,,,,,,,,14,2,,2205,2205,A&A ENGR
1987,,Engineering,,,99,Aero & Astro Engineering,,,67,64,3,1,40,4,1,3,,,,18,,,,,,32,35,,2205,2205,A&A ENGR
1988,,Engineering,,,99,Aero & Astro Engineering,,,494,443,51,1,424,37,14,16,,,,2,,,,,,465,29,,2205,2205,A&A ENGR
1988,,Engineering,,,99,Aero & Astro Engineering,,,16,14,2,,9,4,2,1,,,,,,,,,,16,,,2205,2205,A&A ENGR
1988,,Engineering,,,99,Aero & Astro Engineering,,,21,21,,,18,1,1,1,,,,,,,,,,16,5,,2205,2205,A&A ENGR
1988,,Engineering,,,99,Aero & Astro Engineering,,,79,74,5,,48,6,1,2,,,,22,,,,,,43,36,,2205,2205,A&A ENGR
1989,,Engineering,,,99,Aero & Astro Engineering,,,403,359,44,3,334,23,16,24,1,,,2,,,,,,360,43,,2205,2205,A&A ENGR
1989,,Engineering,,,99,Aero & Astro Engineering,,,14,11,3,,11,2,1,,,,,,,,,,,14,,,2205,2205,A&A ENGR
1989,,Engineering,,,99,Aero & Astro Engineering,,,27,25,2,,21,5,,1,,,,,,,,,,26,1,,2205,2205,A&A ENGR
1989,,Engineering,,,99,Aero & Astro Engineering,,,69,65,4,,41,7,,1,,,,20,,,,,,35,34,,2205,2205,A&A ENGR
1990,,Engineering,,,99,Aero & Astro Engineering,,,382,342,40,3,305,32,15,26,1,,,,,,,,,338,44,,2205,2205,A&A ENGR
1990,,Engineering,,,99,Aero & Astro Engineering,,,5,4,1,,5,,,,,,,,,,,,,5,,,2205,2205,A&A ENGR
1990,,Engineering,,,99,Aero & Astro Engineering,,,24,21,3,,19,4,,1,,,,,,,,,,21,3,,2205,2205,A&A ENGR
1990,,Engineering,,,99,Aero & Astro Engineering,,,68,63,5,1,37,6,,1,,,,23,,,,,,28,40,,2205,2205,A&A ENGR
1991,,Engineering,,,99,Aero & Astro Engineering,,,333,297,36,2,263,34,15,18,,,,1,,,,,,292,41,,2205,2205,A&A ENGR
1991,,Engineering,,,99,Aero & Astro Engineering,,,5,4,1,,4,1,,,,,,,,,,,,5,,,2205,2205,A&A ENGR
1991,,Engineering,,,99,Aero & Astro Engineering,,,26,22,4,,22,3,,1,,,,,,,,,,22,4,,2205,2205,A&A ENGR
1991,,Engineering,,,99,Aero & Astro Engineering,,,78,74,4,1,49,1,,1,1,,,25,,,,,,35,43,,2205,2205,A&A ENGR
1992,,Engineering,,,99,Aero & Astro Engineering,,,291,255,36,,230,34,13,13,,,,1,,,,,,256,35,,2205,2205,A&A ENGR
1992,,Engineering,,,99,Aero & Astro Engineering,,,4,4,,,3,1,,,,,,,,,,,,4,,,2205,2205,A&A ENGR
1992,,Engineering,,,99,Aero & Astro Engineering,,,28,23,5,,22,5,,1,,,,,,,,,,22,6,,2205,2205,A&A ENGR
1992,,Engineering,,,99,Aero & Astro Engineering,,,69,65,4,,48,,,1,,,,20,,,,,,30,39,,2205,2205,A&A ENGR
1993,,Engineering,,,99,Aero & Astro Engineering,,,280,244,36,3,227,27,8,13,,,,2,,,,,,251,29,,2205,2205,A&A ENGR
1993,,Engineering,,,99,Aero & Astro Engineering,,,2,2,,,1,1,,,,,,,,,,,,1,1,,2205,2205,A&A ENGR
1993,,Engineering,,,99,Aero & Astro Engineering,,,20,16,4,,16,3,,1,,,,,,,,,,14,6,,2205,2205,A&A ENGR
1993,,Engineering,,,99,Aero & Astro Engineering,,,64,60,4,1,42,1,1,,,,,19,,,,,,28,36,,2205,2205,A&A ENGR
1994,,Engineering,,,99,Aero & Astro Engineering,,,249,214,35,1,199,27,5,12,,,,5,,,,,,217,32,,2205,2205,A&A ENGR
1994,,Engineering,,,99,Aero & Astro Engineering,,,10,8,2,,6,3,,1,,,,,,,,,,8,2,,2205,2205,A&A ENGR
1994,,Engineering,,,99,Aero & Astro Engineering,,,61,58,3,1,41,2,1,,,,,16,,,,,,29,32,,2205,2205,A&A ENGR
1995,,Engineering,,,99,Aero & Astro Engineering,,,217,189,28,,175,23,6,8,,,,5,,,,,,187,30,,2205,2205,A&A ENGR
1995,,Engineering,,,99,Aero & Astro Engineering,,,1,1,,,,1,,,,,,,,,,,,0,1,,2205,2205,A&A ENGR
1995,,Engineering,,,99,Aero & Astro Engineering,,,10,8,2,,7,2,1,,,,,,,,,,,8,2,,2205,2205,A&A ENGR
1995,,Engineering,,,99,Aero & Astro Engineering,,,58,54,4,,41,2,1,1,,,,13,,,,,,27,31,,2205,2205,A&A ENGR
1996,,Engineering,,,99,Aero & Astro Engineering,,,194,155,39,,155,18,6,9,,,,6,,,,,,158,36,,2205,2205,A&A ENGR
1996,,Engineering,,,99,Aero & Astro Engineering,,,10,7,3,,7,2,1,,,,,,,,,,,8,2,,2205,2205,A&A ENGR
1996,,Engineering,,,99,Aero & Astro Engineering,,,54,50,4,2,33,3,1,2,,,,13,,,,,,22,32,,2205,2205,A&A ENGR
1997,,Engineering,,,99,Aero & Astro Engineering,,,212,169,43,1,164,23,8,11,,,,5,,,,,,171,41,,2205,2205,A&A ENGR
1997,,Engineering,,,99,Aero & Astro Engineering,,,6,3,3,,6,,,,,,,,,,,,,5,1,,2205,2205,A&A ENGR
1997,,Engineering,,,99,Aero & Astro Engineering,,,61,53,8,2,32,5,,3,,,,19,,,,,,21,40,,2205,2205,A&A ENGR
1998,,Engineering,,,99,Aero & Astro Engineering,,,223,175,48,2,167,20,11,14,1,,,8,,,,,,184,39,,2205,2205,A&A ENGR
1998,,Engineering,,,99,Aero & Astro Engineering,,,7,3,4,,6,1,,,,,,,,,,,,5,2,,2205,2205,A&A ENGR
1998,,Engineering,,,99,Aero & Astro Engineering,,,69,60,9,1,31,5,,3,,,,29,,,,,,21,48,,2205,2205,A&A ENGR
