Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code,Legacy Advising Code,Legacy Department Code,Legacy Major Name
1999,,Fine and Applied Arts,,,,Art and Design,,,158,60,98,1,121,25,5,6,,,,,,,,,,148,10,,2410,2410,ART-GEN
2000,,Fine and Applied Arts,,,,Art and Design,,,120,38,82,2,93,18,1,4,,,,2,,,,,,110,10,,2410,2410,ART-GEN
2001,,Fine and Applied Arts,,,,Art and Design,,,132,42,90,2,90,28,5,3,,,,4,,,,,,123,9,,2410,2410,ART-GEN
2002,,Fine and Applied Arts,,,,Art and Design,,,160,51,109,2,111,26,6,9,,,,6,,,,,,144,16,,2410,2410,ART-GEN
2003,,Fine and Applied Arts,,,,Art and Design,,,167,50,117,3,130,12,4,11,,,,7,,,,,,153,14,,2410,2410,ART-GEN
1980,,Fine and Applied Arts,,,,Art and Design,256,Metals,12,3,9,1,11,,,,,,,,,,,,,11,1,,2410,2410,ART-MED
1981,,Fine and Applied Arts,,,,Art and Design,256,Metals,13,2,11,,12,,,1,,,,,,,,,,13,,,2410,2410,ART-MED
1982,,Fine and Applied Arts,,,,Art and Design,256,Metals,5,1,4,,5,,,,,,,,,,,,,5,,,2410,2410,ART-MED
1984,,Fine and Applied Arts,,,,Art and Design,256,Metals,2,,2,,2,,,,,,,,,,,,,2,,,2410,2410,ART-MED
1985,,Fine and Applied Arts,,,,Art and Design,256,Metals,13,7,6,,12,1,,,,,,,,,,,,13,,,2410,2410,ART-MED
1986,,Fine and Applied Arts,,,,Art and Design,256,Metals,9,3,6,,9,,,,,,,,,,,,,9,,,2410,2410,ART-MED
1987,,Fine and Applied Arts,,,,Art and Design,256,Metals,11,2,9,,11,,,,,,,,,,,,,11,,,2410,2410,ART-MED
1988,,Fine and Applied Arts,,,,Art and Design,256,Metals,11,2,9,,11,,,,,,,,,,,,,11,,,2410,2410,ART-MED
1989,,Fine and Applied Arts,,,,Art and Design,256,Metals,7,3,4,,7,,,,,,,,,,,,,7,,,2410,2410,ART-MED
1990,,Fine and Applied Arts,,,,Art and Design,256,Metals,7,3,4,,6,,,1,,,,,,,,,,7,,,2410,2410,ART-MED
1991,,Fine and Applied Arts,,,,Art and Design,256,Metals,6,3,3,,3,2,,1,,,,,,,,,,6,,,2410,2410,ART-MED
1992,,Fine and Applied Arts,,,,Art and Design,256,Metals,4,2,2,,2,,,2,,,,,,,,,,4,,,2410,2410,ART-MED
1993,,Fine and Applied Arts,,,,Art and Design,256,Metals,5,3,2,,3,,,2,,,,,,,,,,5,,,2410,2410,ART-MED
1994,,Fine and Applied Arts,,,,Art and Design,256,Metals,4,1,3,,3,,,1,,,,,,,,,,4,,,2410,2410,ART-MED
2018,120188,Fine and Applied Arts,526,MFA,252,Art and Design,,,4,1,3,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,3,10KS0252MFA,,,
2018,120188,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,10,3,7,0,4,1,0,0,0,0,1,3,1,1,1,0,1,4,6,10KS0254MFA,,,
2018,120188,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,14,6,8,0,1,2,0,0,0,0,0,11,0,0,0,0,2,0,14,10KS0255MFA,,,
2018,120188,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,4,0,4,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,4,10KS0256MFA,,,
2018,120188,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,8,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10KS0257MFA,,,
2018,120188,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,7,3,4,0,6,0,0,1,0,0,0,0,0,0,0,0,0,3,4,10KS0260MFA,,,
1980,,LAS,,,300,Chemical Engineering,,,75,62,13,,48,7,1,1,,,,18,,,,,,15,60,,3288,3288,CHEM ENGR
1980,,LAS,,,300,Chemical Engineering,,,455,357,98,1,403,23,21,5,1,,,1,,,,,,442,13,,3288,3288,CHEM ENGR
1981,,LAS,,,300,Chemical Engineering,,,94,77,17,,57,9,1,2,,,,25,,,,,,19,75,,3288,3288,CHEM ENGR
1981,,LAS,,,300,Chemical Engineering,,,473,367,106,2,415,25,20,5,1,,,5,,,,,,452,21,,3288,3288,CHEM ENGR
1982,,LAS,,,300,Chemical Engineering,,,93,77,16,,60,7,1,2,,,,23,,,,,,18,75,,3288,3288,CHEM ENGR
1982,,LAS,,,300,Chemical Engineering,,,458,342,116,,409,21,20,4,1,,,3,,,,,,444,14,,3288,3288,CHEM ENGR
1983,,LAS,,,300,Chemical Engineering,,,105,89,16,,68,8,1,1,,,,27,,,,,,17,88,,3288,3288,CHEM ENGR
1983,,LAS,,,300,Chemical Engineering,,,433,332,101,,374,29,13,11,1,,,5,,,,,,418,15,,3288,3288,CHEM ENGR
1984,,LAS,,,300,Chemical Engineering,,,99,82,17,,65,9,,1,,,,24,,,,,,12,87,,3288,3288,CHEM ENGR
1984,,LAS,,,300,Chemical Engineering,,,380,283,97,1,334,31,5,7,1,,,1,,,,,,365,15,,3288,3288,CHEM ENGR
1985,,LAS,,,300,Chemical Engineering,,,94,81,13,,65,8,,1,,,,20,,,,,,13,81,,3288,3288,CHEM ENGR
1985,,LAS,,,300,Chemical Engineering,,,325,247,78,,283,30,6,6,,,,,,,,,,310,15,,3288,3288,CHEM ENGR
1986,,LAS,,,300,Chemical Engineering,,,90,77,13,,64,8,,,,,,18,,,,,,29,61,,3288,3288,CHEM ENGR
1986,,LAS,,,300,Chemical Engineering,,,350,252,98,1,295,38,9,6,,,,1,,,,,,330,20,,3288,3288,CHEM ENGR
1987,,LAS,,,300,Chemical Engineering,,,81,65,16,,56,9,,,,,,16,,,,,,28,53,,3288,3288,CHEM ENGR
1987,,LAS,,,300,Chemical Engineering,,,353,245,108,2,289,42,8,11,,,,1,,,,,,334,19,,3288,3288,CHEM ENGR
1988,,LAS,,,300,Chemical Engineering,,,70,55,15,,49,5,,,,,,16,,,,,,21,49,,3288,3288,CHEM ENGR
1988,,LAS,,,300,Chemical Engineering,,,356,251,105,4,285,45,8,11,,,,3,,,,,,334,22,,3288,3288,CHEM ENGR
1989,,LAS,,,300,Chemical Engineering,,,56,44,12,,36,5,,,,,,15,,,,,,13,43,,3288,3288,CHEM ENGR
1989,,LAS,,,300,Chemical Engineering,,,314,222,92,3,251,39,8,11,,,,2,,,,,,289,25,,3288,3288,CHEM ENGR
1990,,LAS,,,300,Chemical Engineering,,,58,38,20,,36,8,,1,,,,13,,,,,,8,50,,3288,3288,CHEM ENGR
1990,,LAS,,,300,Chemical Engineering,,,337,232,105,2,254,56,6,12,,,,7,,,,,,305,32,,3288,3288,CHEM ENGR
1991,,LAS,,,300,Chemical Engineering,,,65,44,21,,42,7,,,,,,16,,,,,,7,58,,3288,3288,CHEM ENGR
1991,,LAS,,,300,Chemical Engineering,,,349,237,112,2,255,59,10,16,,,,7,,,,,,308,41,,3288,3288,CHEM ENGR
1992,,LAS,,,300,Chemical Engineering,,,73,47,26,2,44,6,,1,,,,20,,,,,,4,69,,3288,3288,CHEM ENGR
1992,,LAS,,,300,Chemical Engineering,,,371,240,131,,267,57,17,20,,,,10,,,,,,332,39,,3288,3288,CHEM ENGR
1993,,LAS,,,300,Chemical Engineering,,,78,54,24,,49,7,1,2,,,,19,,,,,,3,75,,3288,3288,CHEM ENGR
1993,,LAS,,,300,Chemical Engineering,,,359,237,122,,265,43,23,21,,,,7,,,,,,327,32,,3288,3288,CHEM ENGR
1994,,LAS,,,300,Chemical Engineering,,,80,59,21,,52,6,1,2,,,,19,,,,,,4,76,,3288,3288,CHEM ENGR
1994,,LAS,,,300,Chemical Engineering,,,377,245,132,1,273,52,24,19,,,,8,,,,,,336,41,,3288,3288,CHEM ENGR
1995,,LAS,,,300,Chemical Engineering,,,71,56,15,1,43,4,1,2,,,,20,,,,,,3,68,,3288,3288,CHEM ENGR
1995,,LAS,,,300,Chemical Engineering,,,404,274,130,3,290,54,26,21,,,,10,,,,,,361,43,,3288,3288,CHEM ENGR
1996,,LAS,,,300,Chemical Engineering,,,68,53,15,1,40,5,1,1,,,,20,,,,,,2,66,,3288,3288,CHEM ENGR
1996,,LAS,,,300,Chemical Engineering,,,396,262,134,6,278,65,23,18,,,,6,,,,,,351,45,,3288,3288,CHEM ENGR
1997,,LAS,,,300,Chemical Engineering,,,71,54,17,1,41,5,1,1,,,,22,,,,,,2,69,,3288,3288,CHEM ENGR
1997,,LAS,,,300,Chemical Engineering,,,380,233,147,5,252,74,26,13,,,,10,,,,,,331,49,,3288,3288,CHEM ENGR
1998,,LAS,,,300,Chemical Engineering,,,397,253,144,4,263,78,24,13,,,,15,,,,,,339,58,,3288,3288,CHEM ENGR
1998,,LAS,,,300,Chemical Engineering,,,70,57,13,1,37,7,,1,,,,24,,,,,,3,67,,3288,3288,CHEM ENGR
1999,,LAS,,,300,Chemical Engineering,,,74,62,12,,30,8,,1,,,,35,,,,,,9,65,,3288,3288,CHEM ENGR
1999,,LAS,,,300,Chemical Engineering,,,394,252,142,4,270,81,13,11,,,,15,,,,,,334,60,,3288,3288,CHEM ENGR
2000,,LAS,,,300,Chemical Engineering,,,83,67,16,1,32,10,,1,,,,39,,,,,,12,71,,3288,3288,CHEM ENGR
2000,,LAS,,,300,Chemical Engineering,,,388,260,128,1,269,76,13,13,,,,16,,,,,,334,54,,3288,3288,CHEM ENGR
2001,,LAS,,,300,Chemical Engineering,,,85,63,22,2,33,9,,,,,,41,,,,,,14,71,,3288,3288,CHEM ENGR
2001,,LAS,,,300,Chemical Engineering,,,347,234,113,1,231,75,14,12,,,,14,,,,,,300,47,,3288,3288,CHEM ENGR
2002,,LAS,,,300,Chemical Engineering,,,94,75,19,1,40,10,1,1,,,,41,,,,,,15,79,,3288,3288,CHEM ENGR
2002,,LAS,,,300,Chemical Engineering,,,303,207,96,3,193,67,8,10,,,,22,,,,,,248,55,,3288,3288,CHEM ENGR
2003,,LAS,,,300,Chemical Engineering,,,111,89,22,1,50,12,2,1,,,,45,,,,,,13,98,,3288,3288,CHEM ENGR
2003,,LAS,,,300,Chemical Engineering,,,302,205,97,5,185,62,8,10,,,,32,,,,,,228,74,,3288,3288,CHEM ENGR
2017,120178,Fine and Applied Arts,526,MFA,252,Art and Design,,,5,1,4,0,3,0,1,1,0,0,0,0,0,1,0,0,0,1,4,10KS0252MFA,,,
2017,120178,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,7,2,5,0,4,1,0,0,0,0,0,2,0,0,0,0,1,2,5,10KS0254MFA,,,
2017,120178,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,15,6,9,0,4,2,0,1,0,0,1,7,0,0,0,0,3,3,12,10KS0255MFA,,,
2017,120178,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,5,0,5,0,2,1,0,1,0,0,0,1,0,0,0,0,1,1,4,10KS0256MFA,,,
2017,120178,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,5,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,5,10KS0257MFA,,,
2017,120178,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10KS0260MFA,,,
2016,120168,Fine and Applied Arts,526,MFA,252,Art and Design,,,5,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,4,10KS0252MFA,,,
2016,120168,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,9,3,6,0,5,1,0,0,0,0,0,3,0,0,0,0,1,2,7,10KS0254MFA,,,
2016,120168,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,13,7,6,0,5,1,0,1,0,0,0,6,0,0,0,0,1,4,9,10KS0255MFA,,,
2016,120168,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,5,1,4,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,5,10KS0256MFA,,,
2016,120168,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,6,1,5,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,6,10KS0257MFA,,,
2016,120168,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10KS0260MFA,,,
2016,120168,Fine and Applied Arts,526,NDEG,252,Art and Design,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KS0252NDEG,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,258,Photography,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KS0258MFA,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,,,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10KS0252MFA,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,6,1,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,5,10KS0254MFA,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,6,1,5,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,5,10KS0256MFA,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,7,2,5,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,5,10KS0260MFA,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,10,3,7,0,4,0,0,1,0,0,0,5,0,0,0,0,0,3,7,10KS0255MFA,,,
2015,120158,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,8,3,5,0,5,1,0,2,0,0,0,0,0,0,1,0,1,1,7,10KS0257MFA,,,
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,,,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10KS0252MFA,,,
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,258,Photography,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10KS0258MFA,,,
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,3,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,10KS0254MFA,,,
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,6,1,5,0,4,0,0,0,0,0,0,1,1,0,0,0,0,2,4,10KS0256MFA,,,
1980,,LAS,,,335,Chemistry,,,292,229,63,2,259,8,2,,,,,21,,,,,,63,229,,3286,3286,CHEMISTRY
1980,,LAS,,,335,Chemistry,,,239,179,60,1,224,8,1,2,,,,3,,,,,,230,9,,3286,3286,CHEMISTRY
1981,,LAS,,,335,Chemistry,,,289,229,60,3,250,7,,,,,,29,,,,,,63,226,,3286,3286,CHEMISTRY
1981,,LAS,,,335,Chemistry,,,248,180,68,,226,15,3,2,,,,2,,,,,,242,6,,3286,3286,CHEMISTRY
1982,,LAS,,,335,Chemistry,,,284,222,62,2,238,9,1,,,,,34,,,,,,66,218,,3286,3286,CHEMISTRY
1982,,LAS,,,335,Chemistry,,,266,193,73,1,230,20,6,4,,,,5,,,,,,249,17,,3286,3286,CHEMISTRY
1983,,LAS,,,335,Chemistry,,,280,215,65,1,231,7,1,1,,,,39,,,,,,57,223,,3286,3286,CHEMISTRY
1983,,LAS,,,335,Chemistry,,,277,183,94,1,245,22,5,2,,,,2,,,,,,270,7,,3286,3286,CHEMISTRY
1984,,LAS,,,335,Chemistry,,,279,218,61,4,225,10,,,,,,40,,,,,,55,224,,3286,3286,CHEMISTRY
1984,,LAS,,,335,Chemistry,,,258,176,82,1,228,21,5,2,,,,1,,,,,,251,7,,3286,3286,CHEMISTRY
1985,,LAS,,,335,Chemistry,,,274,211,63,2,213,7,2,2,,,,48,,,,,,54,220,,3286,3286,CHEMISTRY
1985,,LAS,,,335,Chemistry,,,257,173,84,1,229,17,6,4,,,,,,,,,,252,5,,3286,3286,CHEMISTRY
1986,,LAS,,,335,Chemistry,,,300,227,73,7,209,18,3,3,,,,60,,,,,,76,224,,3286,3286,CHEMISTRY
1986,,LAS,,,335,Chemistry,,,222,139,83,1,189,23,2,6,1,,,,,,,,,214,8,,3286,3286,CHEMISTRY
1987,,LAS,,,335,Chemistry,,,301,229,72,4,199,19,2,1,1,,,75,,,,,,73,228,,3286,3286,CHEMISTRY
1987,,LAS,,,335,Chemistry,,,223,144,79,,194,24,1,4,,,,,,,,,,216,7,,3286,3286,CHEMISTRY
1988,,LAS,,,335,Chemistry,,,272,202,70,3,173,16,1,2,1,,,76,,,,,,65,207,,3286,3286,CHEMISTRY
1988,,LAS,,,335,Chemistry,,,206,127,79,,174,27,1,4,,,,,,,,,,193,13,,3286,3286,CHEMISTRY
1989,,LAS,,,335,Chemistry,,,269,195,74,11,159,14,1,2,2,,,80,,,,,,50,219,,3286,3286,CHEMISTRY
1989,,LAS,,,335,Chemistry,,,193,122,71,1,161,25,2,4,,,,,,,,,,184,9,,3286,3286,CHEMISTRY
1990,,LAS,,,335,Chemistry,,,276,209,67,5,165,17,1,2,2,,,84,,,,,,44,232,,3286,3286,CHEMISTRY
1990,,LAS,,,335,Chemistry,,,211,133,78,,169,30,7,5,,,,,,,,,,201,10,,3286,3286,CHEMISTRY
1991,,LAS,,,335,Chemistry,,,248,192,56,3,148,12,4,5,1,,,75,,,,,,32,216,,3286,3286,CHEMISTRY
1991,,LAS,,,335,Chemistry,,,205,144,61,,169,26,4,3,,,,3,,,,,,188,17,,3286,3286,CHEMISTRY
1992,,LAS,,,335,Chemistry,,,271,202,69,7,169,13,4,4,,,,74,,,,,,41,230,,3286,3286,CHEMISTRY
1992,,LAS,,,335,Chemistry,,,190,134,56,,164,19,2,3,,,,2,,,,,,173,17,,3286,3286,CHEMISTRY
1993,,LAS,,,335,Chemistry,,,264,201,63,5,175,16,2,5,,,,61,,,,,,39,225,,3286,3286,CHEMISTRY
1993,,LAS,,,335,Chemistry,,,227,152,75,1,182,25,10,5,,,,4,,,,,,206,21,,3286,3286,CHEMISTRY
1994,,LAS,,,335,Chemistry,,,264,199,65,7,174,16,2,6,,,,59,,,,,,38,226,,3286,3286,CHEMISTRY
1994,,LAS,,,335,Chemistry,,,204,137,67,1,159,29,6,5,,,,4,,,,,,183,21,,3286,3286,CHEMISTRY
1995,,LAS,,,335,Chemistry,,,297,211,86,4,203,23,2,7,,,,58,,,,,,52,245,,3286,3286,CHEMISTRY
1995,,LAS,,,335,Chemistry,,,194,123,71,1,150,27,7,5,2,,,2,,,,,,177,17,,3286,3286,CHEMISTRY
1996,,LAS,,,335,Chemistry,,,263,189,74,5,181,21,1,9,,,,46,,,,,,39,224,,3286,3286,CHEMISTRY
1996,,LAS,,,335,Chemistry,,,176,103,73,1,142,21,5,2,2,,,3,,,,,,162,14,,3286,3286,CHEMISTRY
1997,,LAS,,,335,Chemistry,,,265,178,87,6,179,20,2,9,,,,49,,,,,,33,232,,3286,3286,CHEMISTRY
1997,,LAS,,,335,Chemistry,,,150,84,66,1,115,26,5,2,,,,1,,,,,,139,11,,3286,3286,CHEMISTRY
1998,,LAS,,,335,Chemistry,,,135,89,46,1,107,18,4,4,,,,1,,,,,,122,13,,3286,3286,CHEMISTRY
1998,,LAS,,,335,Chemistry,,,261,173,88,5,185,16,2,6,,,,47,,,,,,37,224,,3286,3286,CHEMISTRY
1999,,LAS,,,335,Chemistry,,,266,172,94,5,185,21,1,4,,,,50,,,,,,37,229,,3286,3286,CHEMISTRY
1999,,LAS,,,335,Chemistry,,,134,84,50,1,100,22,6,3,,,,2,,,,,,122,12,,3286,3286,CHEMISTRY
2000,,LAS,,,335,Chemistry,,,266,161,105,6,171,19,2,4,,,,64,,,,,,27,239,,3286,3286,CHEMISTRY
2000,,LAS,,,335,Chemistry,,,104,67,37,3,72,19,8,1,,,,1,,,,,,94,10,,3286,3286,CHEMISTRY
2001,,LAS,,,335,Chemistry,,,276,171,105,6,185,17,2,1,,,,65,,,,,,32,244,,3286,3286,CHEMISTRY
2001,,LAS,,,335,Chemistry,,,120,74,46,3,92,10,10,2,,,,3,,,,,,112,8,,3286,3286,CHEMISTRY
2002,,LAS,,,335,Chemistry,,,265,173,92,6,176,13,1,,,,,69,,,,,,33,232,,3286,3286,CHEMISTRY
2002,,LAS,,,335,Chemistry,,,105,64,41,3,80,8,7,3,,,,4,,,,,,96,9,,3286,3286,CHEMISTRY
2003,,LAS,,,335,Chemistry,,,290,183,107,9,200,11,1,1,,,,68,,,,,,40,250,,3286,3286,CHEMISTRY
2003,,LAS,,,335,Chemistry,,,101,61,40,3,76,9,5,3,,,,5,,,,,,88,13,,3286,3286,CHEMISTRY
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,6,1,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,4,10KS0260MFA,,,
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,8,1,7,0,2,0,0,0,0,0,0,6,0,0,0,0,0,1,7,10KS0255MFA,,,
2014,120148,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,9,4,5,0,7,0,0,2,0,0,0,0,0,0,1,0,0,2,7,10KS0257MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,,,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,,,1,1,10KS0252MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,4,2,2,0,2,0,0,0,0,0,0,2,0,0,0,,,2,2,10KS0254MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,10,3,7,0,4,0,0,0,0,0,0,6,0,0,0,,,3,7,10KS0255MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,7,0,7,0,4,0,0,0,0,0,0,2,1,0,0,,,4,3,10KS0256MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,7,3,4,0,6,0,0,1,0,0,0,0,0,0,1,,,2,5,10KS0257MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,258,Photography,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,,,2,2,10KS0258MFA,,,
2013,120138,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,6,0,6,0,4,0,0,1,0,0,0,1,0,0,0,,,2,4,10KS0260MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,,,5,3,2,0,5,0,0,0,0,0,0,0,0,0,0,,,2,3,10KS0252MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,5,2,3,0,2,0,0,0,0,0,1,2,0,0,0,,,2,3,10KS0254MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,7,3,4,0,3,0,0,0,0,0,0,4,0,0,0,,,3,4,10KS0255MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,5,0,5,0,3,0,0,0,0,0,0,1,1,0,0,,,3,2,10KS0256MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,9,4,5,0,9,0,0,0,0,0,0,0,0,0,0,,,2,7,10KS0257MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,258,Photography,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,,,2,1,10KS0258MFA,,,
2012,120128,Fine and Applied Arts,526,MFA,252,Art and Design,260,Sculpture,4,0,4,0,2,0,0,1,0,0,0,1,0,0,0,,,1,3,10KS0260MFA,,,
2012,120128,Fine and Applied Arts,526,NDEG,252,Art and Design,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,10KS0252NDEG,,,
2011,120118,Fine and Applied Arts,526,MFA,252,Art and Design,,,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,,,1,4,10KS0252MFA,,,
2011,120118,Fine and Applied Arts,526,MFA,252,Art and Design,254,Graphic Design,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,,,0,2,10KS0254MFA,,,
2011,120118,Fine and Applied Arts,526,MFA,252,Art and Design,255,Industrial Design,9,6,3,0,3,1,0,0,0,0,0,5,0,0,0,,,4,5,10KS0255MFA,,,
2011,120118,Fine and Applied Arts,526,MFA,252,Art and Design,256,Metals,6,2,4,0,4,0,0,0,0,0,1,1,0,0,1,,,2,4,10KS0256MFA,,,
2011,120118,Fine and Applied Arts,526,MFA,252,Art and Design,257,Painting,9,4,5,0,9,0,0,0,0,0,0,0,0,0,0,,,2,7,10KS0257MFA,,,
2011,120118,Fine and Applied Arts,526,MFA,252,Art and Design,258,Photography,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,,,1,2,10KS0258MFA,,,
1980,,Engineering,,,106,Civil Engineering,,,648,561,87,1,592,8,7,7,3,,,30,,,,,,605,43,,2220,2220,CIVIL ENGR
1980,,Engineering,,,106,Civil Engineering,,,7,3,4,,7,,,,,,,,,,,,,6,1,,2220,2220,CIVIL ENGR
1980,,Engineering,,,106,Civil Engineering,,,22,16,6,,19,,3,,,,,,,,,,,22,,,2220,2220,CIVIL ENGR
1980,,Engineering,,,106,Civil Engineering,,,225,212,13,3,115,6,2,5,,,,94,,,,,,89,136,,2220,2220,CIVIL ENGR
1981,,Engineering,,,106,Civil Engineering,,,572,488,84,1,520,13,9,8,1,,,20,,,,,,544,28,,2220,2220,CIVIL ENGR
1981,,Engineering,,,106,Civil Engineering,,,6,3,3,,4,1,,1,,,,,,,,,,6,,,2220,2220,CIVIL ENGR
1981,,Engineering,,,106,Civil Engineering,,,15,10,5,,15,,,,,,,,,,,,,15,,,2220,2220,CIVIL ENGR
1981,,Engineering,,,106,Civil Engineering,,,218,200,18,1,124,10,3,6,,,,74,,,,,,99,119,,2220,2220,CIVIL ENGR
1982,,Engineering,,,106,Civil Engineering,,,456,380,76,,419,14,4,7,1,,,11,,,,,,436,20,,2220,2220,CIVIL ENGR
1982,,Engineering,,,106,Civil Engineering,,,3,1,2,,3,,,,,,,,,,,,,3,,,2220,2220,CIVIL ENGR
1982,,Engineering,,,106,Civil Engineering,,,17,9,8,,15,1,,1,,,,,,,,,,16,1,,2220,2220,CIVIL ENGR
1982,,Engineering,,,106,Civil Engineering,,,196,178,18,2,122,8,1,5,,,,58,,,,,,90,106,,2220,2220,CIVIL ENGR
1983,,Engineering,,,106,Civil Engineering,,,351,295,56,2,312,16,4,6,1,,,10,,,,,,329,22,,2220,2220,CIVIL ENGR
1983,,Engineering,,,106,Civil Engineering,,,11,6,5,,10,,1,,,,,,,,,,,11,,,2220,2220,CIVIL ENGR
1983,,Engineering,,,106,Civil Engineering,,,13,7,6,,11,1,,1,,,,,,,,,,12,1,,2220,2220,CIVIL ENGR
1983,,Engineering,,,106,Civil Engineering,,,236,209,27,2,154,12,3,3,,,,62,,,,,,123,113,,2220,2220,CIVIL ENGR
1984,,Engineering,,,106,Civil Engineering,,,313,260,53,6,283,13,3,4,,,,4,,,,,,295,18,,2220,2220,CIVIL ENGR
1984,,Engineering,,,106,Civil Engineering,,,11,6,5,,9,,2,,,,,,,,,,,11,,,2220,2220,CIVIL ENGR
1984,,Engineering,,,106,Civil Engineering,,,7,4,3,,7,,,,,,,,,,,,,7,,,2220,2220,CIVIL ENGR
1984,,Engineering,,,106,Civil Engineering,,,221,199,22,2,135,10,2,2,1,,,69,,,,,,103,118,,2220,2220,CIVIL ENGR
